Word,Freq. Difference,Rel. Frequency - Passwords,Rel. Frequency - BNC,Freq. Sum,Abs. Freq. - Passwords,Abs. Freq. - BNC
lovely,5.59E-04,6.22E-04,6.27E-05,6.85E-04,25141,6278
forever,5.59E-04,5.77E-04,1.84E-05,5.96E-04,23331,1846
mike,5.58E-04,6.02E-04,4.38E-05,6.46E-04,24335,4385
cho,5.58E-04,5.59E-04,8.99E-07,5.60E-04,22598,90
crazy,5.56E-04,5.74E-04,1.79E-05,5.92E-04,23204,1789
amor,5.56E-04,5.57E-04,3.40E-07,5.57E-04,22492,34
que,5.55E-04,5.56E-04,1.25E-06,5.57E-04,22479,125
kim,5.51E-04,5.64E-04,1.33E-05,5.77E-04,22793,1328
elle,5.48E-04,5.48E-04,4.50E-07,5.49E-04,22167,45
mac,5.47E-04,5.57E-04,9.81E-06,5.67E-04,22518,982
bad,5.46E-04,7.00E-04,1.55E-04,8.55E-04,28306,15468
hottie,5.41E-04,5.41E-04,2.00E-08,5.41E-04,21855,2
ken,5.39E-04,5.70E-04,3.19E-05,6.02E-04,23053,3192
ara,5.37E-04,5.38E-04,5.49E-07,5.38E-04,21726,55
jon,5.37E-04,5.42E-04,5.49E-06,5.48E-04,21924,550
michelle,5.34E-04,5.40E-04,6.06E-06,5.46E-04,21840,607
pimp,5.31E-04,5.32E-04,8.39E-07,5.32E-04,21481,84
mel,5.31E-04,5.34E-04,3.51E-06,5.38E-04,21587,351
kiss,5.31E-04,5.57E-04,2.63E-05,5.83E-04,22509,2637
fer,5.23E-04,5.26E-04,2.51E-06,5.28E-04,21255,251
cs,5.23E-04,5.29E-04,5.79E-06,5.35E-04,21387,580
david,5.23E-04,6.80E-04,1.57E-04,8.37E-04,27472,15721
lucky,5.21E-04,5.62E-04,4.11E-05,6.03E-04,22728,4114
ray,5.21E-04,5.42E-04,2.12E-05,5.63E-04,21897,2118
hate,5.20E-04,5.51E-04,3.09E-05,5.82E-04,22286,3097
pop,5.20E-04,5.56E-04,3.57E-05,5.92E-04,22478,3573
rocks,5.17E-04,5.46E-04,2.92E-05,5.75E-04,22062,2925
ing,5.13E-04,5.15E-04,1.52E-06,5.16E-04,20804,152
ben,5.07E-04,5.39E-04,3.17E-05,5.71E-04,21785,3175
ice,5.07E-04,5.48E-04,4.04E-05,5.88E-04,22136,4046
pretty,5.06E-04,5.86E-04,7.96E-05,6.65E-04,23669,7964
ox,5.06E-04,5.08E-04,1.92E-06,5.10E-04,20530,192
hannah,5.05E-04,5.13E-04,7.60E-06,5.21E-04,20730,761
aru,5.05E-04,5.06E-04,2.20E-07,5.06E-04,20430,22
mia,5.05E-04,5.07E-04,2.16E-06,5.09E-04,20491,216
ale,5.04E-04,5.11E-04,6.62E-06,5.17E-04,20643,663
tweet,5.00E-04,5.00E-04,2.20E-07,5.01E-04,20220,22
king,4.99E-04,6.63E-04,1.64E-04,8.27E-04,26802,16388
lin,4.99E-04,5.01E-04,1.88E-06,5.03E-04,20240,188
nie,4.98E-04,4.99E-04,5.09E-07,4.99E-04,20147,51
anne,4.94E-04,5.37E-04,4.39E-05,5.81E-04,21717,4390
yan,4.93E-04,4.93E-04,3.70E-07,4.94E-04,19932,37
dragon,4.92E-04,5.01E-04,8.99E-06,5.10E-04,20242,900
sunshine,4.91E-04,5.04E-04,1.31E-05,5.17E-04,20361,1313
mari,4.89E-04,4.90E-04,2.40E-07,4.90E-04,19789,24
ian,4.88E-04,5.41E-04,5.32E-05,5.95E-04,21881,5327
che,4.88E-04,4.89E-04,1.07E-06,4.90E-04,19766,107
ryan,4.86E-04,4.96E-04,9.31E-06,5.05E-04,20027,932
dad,4.86E-04,5.59E-04,7.31E-05,6.32E-04,22585,7320
mah,4.86E-04,4.86E-04,4.30E-07,4.86E-04,19640,43
hon,4.83E-04,4.86E-04,3.08E-06,4.89E-04,19651,308
ell,4.81E-04,4.82E-04,1.05E-06,4.83E-04,19494,105
ura,4.80E-04,4.80E-04,2.20E-07,4.80E-04,19406,22
rose,4.77E-04,5.90E-04,1.13E-04,7.03E-04,23844,11280
jen,4.77E-04,4.79E-04,2.32E-06,4.82E-04,19367,232
joshua,4.73E-04,4.77E-04,4.23E-06,4.81E-04,19276,423
ip,4.71E-04,4.72E-04,1.52E-06,4.74E-04,19088,152
mae,4.70E-04,4.71E-04,9.39E-07,4.71E-04,19016,94
anna,4.67E-04,4.95E-04,2.78E-05,5.22E-04,19988,2787
miss,4.66E-04,5.92E-04,1.26E-04,7.18E-04,23924,12595
ama,4.65E-04,4.65E-04,3.60E-07,4.66E-04,18807,36
ron,4.59E-04,4.73E-04,1.33E-05,4.86E-04,19104,1332
ros,4.59E-04,4.68E-04,8.28E-06,4.76E-04,18896,829
san,4.58E-04,4.84E-04,2.53E-05,5.09E-04,19545,2529
mark,4.57E-04,5.82E-04,1.25E-04,7.07E-04,23528,12492
nha,4.57E-04,4.57E-04,3.00E-08,4.57E-04,18480,3
max,4.50E-04,4.64E-04,1.37E-05,4.78E-04,18760,1375
brandon,4.49E-04,4.51E-04,1.97E-06,4.53E-04,18221,197
bug,4.49E-04,4.52E-04,3.70E-06,4.56E-04,18283,370
andrew,4.48E-04,4.93E-04,4.49E-05,5.38E-04,19937,4490
ali,4.44E-04,4.58E-04,1.35E-05,4.71E-04,18499,1356
super,4.43E-04,4.59E-04,1.66E-05,4.76E-04,18563,1666
fat,4.42E-04,4.88E-04,4.61E-05,5.34E-04,19715,4611
gat,4.41E-04,4.41E-04,1.60E-07,4.42E-04,17843,16
lou,4.40E-04,4.46E-04,6.25E-06,4.52E-04,18031,626
butterfly,4.39E-04,4.45E-04,6.44E-06,4.52E-04,18000,645
aw,4.38E-04,4.39E-04,1.63E-06,4.41E-04,17761,163
jason,4.37E-04,4.48E-04,1.06E-05,4.59E-04,18108,1060
happy,4.37E-04,5.55E-04,1.17E-04,6.72E-04,22410,11731
eli,4.35E-04,4.35E-04,7.19E-07,4.36E-04,17597,72
ong,4.35E-04,4.35E-04,1.20E-07,4.35E-04,17568,12
moo,4.33E-04,4.33E-04,3.90E-07,4.34E-04,17516,39
los,4.32E-04,4.45E-04,1.29E-05,4.58E-04,17972,1292
nick,4.32E-04,4.63E-04,3.16E-05,4.95E-04,18721,3166
candy,4.31E-04,4.34E-04,3.68E-06,4.38E-04,17558,368
bebe,4.28E-04,4.28E-04,1.50E-07,4.29E-04,17312,15
josh,4.28E-04,4.31E-04,3.58E-06,4.35E-04,17428,358
hay,4.28E-04,4.39E-04,1.13E-05,4.50E-04,17738,1132
june,4.24E-04,5.70E-04,1.46E-04,7.16E-04,23035,14590
chocolate,4.23E-04,4.44E-04,2.06E-05,4.65E-04,17943,2066
friends,4.23E-04,5.74E-04,1.51E-04,7.25E-04,23191,15089
lynn,4.22E-04,4.28E-04,5.59E-06,4.33E-04,17287,560
tay,4.22E-04,4.23E-04,1.41E-06,4.24E-04,17096,141
andrea,4.21E-04,4.25E-04,3.21E-06,4.28E-04,17162,321
playboy,4.21E-04,4.22E-04,1.49E-06,4.24E-04,17064,149
ax,4.21E-04,4.22E-04,9.19E-07,4.22E-04,17036,92
jack,4.17E-04,4.76E-04,5.96E-05,5.36E-04,19253,5965
dee,4.14E-04,4.21E-04,6.88E-06,4.27E-04,16999,689
football,4.13E-04,4.80E-04,6.70E-05,5.47E-04,19397,6703
mer,4.12E-04,4.13E-04,4.40E-07,4.13E-04,16673,44
des,4.08E-04,4.30E-04,2.15E-05,4.51E-04,17376,2157
cam,4.08E-04,4.12E-04,4.25E-06,4.17E-04,16667,425
chick,4.08E-04,4.11E-04,3.11E-06,4.14E-04,16610,311
amanda,4.07E-04,4.14E-04,6.31E-06,4.20E-04,16717,632
las,4.06E-04,4.10E-04,3.44E-06,4.13E-04,16562,344
charlie,4.05E-04,4.33E-04,2.80E-05,4.61E-04,17512,2799
bubbles,4.05E-04,4.10E-04,4.81E-06,4.14E-04,16553,482
tyler,4.04E-04,4.07E-04,2.65E-06,4.10E-04,16453,265
yahoo,4.04E-04,4.04E-04,1.50E-07,4.04E-04,16337,15
god,4.01E-04,6.38E-04,2.37E-04,8.75E-04,25793,23747
mal,4.01E-04,4.02E-04,1.69E-06,4.04E-04,16257,169
cd,4.00E-04,4.11E-04,1.15E-05,4.23E-04,16616,1154
cookie,4.00E-04,4.00E-04,8.49E-07,4.01E-04,16182,85
gal,3.99E-04,4.01E-04,1.44E-06,4.02E-04,16189,144
hey,3.98E-04,4.16E-04,1.76E-05,4.33E-04,16809,1759
rox,3.98E-04,3.98E-04,4.99E-08,3.98E-04,16089,5
flower,3.96E-04,4.20E-04,2.36E-05,4.44E-04,16974,2363
ino,3.95E-04,3.95E-04,2.00E-08,3.95E-04,15958,2
punk,3.94E-04,3.99E-04,4.94E-06,4.04E-04,16121,495
shadow,3.92E-04,4.23E-04,3.09E-05,4.54E-04,17102,3095
cris,3.91E-04,3.91E-04,8.99E-08,3.91E-04,15813,9
shorty,3.90E-04,3.90E-04,1.50E-07,3.90E-04,15758,15
rey,3.86E-04,3.87E-04,5.59E-07,3.87E-04,15638,56
amy,3.85E-04,3.94E-04,8.54E-06,4.02E-04,15910,855
ani,3.84E-04,3.84E-04,1.30E-07,3.84E-04,15526,13
tea,3.83E-04,4.69E-04,8.61E-05,5.55E-04,18958,8619
del,3.83E-04,3.91E-04,7.94E-06,3.98E-04,15784,795
ren,3.82E-04,3.82E-04,1.90E-07,3.83E-04,15453,19
softball,3.81E-04,3.81E-04,1.20E-07,3.81E-04,15408,12
mommy,3.80E-04,3.81E-04,1.90E-07,3.81E-04,15380,19
kevin,3.80E-04,4.04E-04,2.33E-05,4.27E-04,16312,2336
nik,3.80E-04,3.80E-04,4.30E-07,3.81E-04,15371,43
taylor,3.79E-04,4.16E-04,3.63E-05,4.52E-04,16800,3633
les,3.78E-04,3.95E-04,1.71E-05,4.12E-04,15951,1716
ere,3.77E-04,3.79E-04,1.67E-06,3.81E-04,15323,167
sarah,3.77E-04,4.12E-04,3.47E-05,4.47E-04,16653,3471
ide,3.77E-04,3.78E-04,8.29E-07,3.79E-04,15272,83
don,3.77E-04,3.95E-04,1.81E-05,4.13E-04,15964,1812
ton,3.77E-04,3.82E-04,4.82E-06,3.86E-04,15424,483
mickey,3.76E-04,3.82E-04,6.29E-06,3.88E-04,15439,630
yang,3.76E-04,3.78E-04,2.01E-06,3.80E-04,15265,201
dancer,3.74E-04,3.80E-04,5.97E-06,3.86E-04,15349,598
lie,3.74E-04,4.26E-04,5.24E-05,4.79E-04,17221,5245
pan,3.73E-04,3.92E-04,1.89E-05,4.11E-04,15838,1895
miguel,3.72E-04,3.78E-04,5.45E-06,3.83E-04,15260,546
linda,3.72E-04,3.84E-04,1.19E-05,3.96E-04,15506,1192
ram,3.72E-04,3.82E-04,1.01E-05,3.92E-04,15430,1010
min,3.71E-04,3.78E-04,6.81E-06,3.85E-04,15283,682
mad,3.70E-04,4.02E-04,3.15E-05,4.33E-04,16245,3150
cherry,3.70E-04,3.78E-04,8.65E-06,3.87E-04,15283,866
ola,3.69E-04,3.69E-04,4.99E-07,3.70E-04,14932,50
mor,3.67E-04,3.68E-04,1.26E-06,3.70E-04,14892,126
chelsea,3.67E-04,3.82E-04,1.52E-05,3.98E-04,15453,1526
robert,3.66E-04,4.45E-04,7.92E-05,5.25E-04,18003,7927
van,3.66E-04,4.09E-04,4.28E-05,4.52E-04,16534,4289
nat,3.66E-04,3.68E-04,1.98E-06,3.70E-04,14880,198
jasmine,3.66E-04,3.68E-04,1.56E-06,3.69E-04,14861,156
anu,3.66E-04,3.66E-04,4.00E-08,3.66E-04,14789,4
liverpool,3.65E-04,4.20E-04,5.52E-05,4.75E-04,16977,5526
mag,3.63E-04,3.64E-04,1.32E-06,3.66E-04,14726,132
ira,3.63E-04,3.80E-04,1.76E-05,3.98E-04,15365,1760
alk,3.62E-04,3.62E-04,0,3.62E-04,14646,0
jam,3.61E-04,3.72E-04,1.05E-05,3.82E-04,15026,1050
angels,3.61E-04,3.68E-04,7.84E-06,3.76E-04,14890,785
car,3.60E-04,6.39E-04,2.78E-04,9.17E-04,25808,27873
bella,3.59E-04,3.65E-04,5.57E-06,3.70E-04,14747,558
barbie,3.59E-04,3.60E-04,7.79E-07,3.61E-04,14539,78
superman,3.59E-04,3.60E-04,1.22E-06,3.61E-04,14545,122
ion,3.57E-04,3.62E-04,4.83E-06,3.67E-04,14641,484
sie,3.57E-04,3.57E-04,1.80E-07,3.58E-04,14445,18
cor,3.57E-04,3.64E-04,6.57E-06,3.70E-04,14699,658
matthew,3.57E-04,3.83E-04,2.59E-05,4.09E-04,15465,2596
han,3.57E-04,3.58E-04,1.82E-06,3.60E-04,14485,182
ari,3.56E-04,3.59E-04,2.94E-06,3.62E-04,14506,294
pre,3.56E-04,3.58E-04,2.18E-06,3.60E-04,14456,218
liz,3.55E-04,3.72E-04,1.68E-05,3.88E-04,15015,1686
soy,3.54E-04,3.55E-04,1.10E-06,3.56E-04,14338,110
leo,3.53E-04,3.62E-04,8.95E-06,3.71E-04,14627,896
gui,3.53E-04,3.54E-04,1.17E-06,3.55E-04,14310,117
april,3.52E-04,4.99E-04,1.47E-04,6.46E-04,20156,14707
tom,3.51E-04,4.07E-04,5.61E-05,4.63E-04,16458,5614
bub,3.51E-04,3.51E-04,1.60E-07,3.51E-04,14190,16
hie,3.50E-04,3.50E-04,2.30E-07,3.51E-04,14158,23
black,3.50E-04,5.98E-04,2.49E-04,8.47E-04,24188,24901
matt,3.49E-04,3.59E-04,1.07E-05,3.70E-04,14526,1067
len,3.47E-04,3.52E-04,4.66E-06,3.56E-04,14214,466
bee,3.47E-04,3.52E-04,5.22E-06,3.57E-04,14219,523
lauren,3.46E-04,3.47E-04,1.38E-06,3.49E-04,14041,138
cheer,3.45E-04,3.53E-04,7.80E-06,3.61E-04,14267,781
bunny,3.45E-04,3.49E-04,4.06E-06,3.53E-04,14103,406
jennifer,3.44E-04,3.52E-04,7.65E-06,3.59E-04,14217,766
mis,3.44E-04,3.44E-04,8.39E-07,3.45E-04,13919,84
emma,3.42E-04,3.57E-04,1.47E-05,3.72E-04,14422,1469
princes,3.41E-04,3.49E-04,7.79E-06,3.57E-04,14112,780
joy,3.41E-04,3.70E-04,2.95E-05,4.00E-04,14961,2956
jess,3.40E-04,3.46E-04,5.24E-06,3.51E-04,13967,525
mary,3.40E-04,4.11E-04,7.12E-05,4.83E-04,16628,7125
hunter,3.40E-04,3.53E-04,1.31E-05,3.66E-04,14261,1312
err,3.39E-04,3.40E-04,1.19E-06,3.41E-04,13747,119
tiger,3.38E-04,3.47E-04,9.06E-06,3.56E-04,14018,907
nel,3.37E-04,3.37E-04,3.00E-07,3.38E-04,13635,30
gie,3.36E-04,3.36E-04,2.30E-07,3.37E-04,13599,23
son,3.36E-04,4.66E-04,1.31E-04,5.97E-04,18853,13103
alexis,3.35E-04,3.37E-04,1.75E-06,3.39E-04,13629,175
pat,3.35E-04,3.57E-04,2.14E-05,3.78E-04,14416,2141
ard,3.34E-04,3.35E-04,1.20E-07,3.35E-04,13521,12
db,3.34E-04,3.35E-04,9.49E-07,3.36E-04,13549,95
poop,3.34E-04,3.35E-04,3.90E-07,3.35E-04,13520,39
danny,3.34E-04,3.43E-04,8.94E-06,3.52E-04,13861,895
zie,3.34E-04,3.34E-04,0,3.34E-04,13482,0
summer,3.33E-04,4.47E-04,1.13E-04,5.60E-04,18049,11346
lan,3.32E-04,3.35E-04,2.55E-06,3.37E-04,13523,255
july,3.32E-04,4.51E-04,1.19E-04,5.70E-04,18219,11901
junior,3.31E-04,3.61E-04,2.97E-05,3.90E-04,14573,2970
ger,3.31E-04,3.31E-04,6.09E-07,3.32E-04,13383,61
ada,3.30E-04,3.33E-04,2.28E-06,3.35E-04,13448,228
ber,3.30E-04,3.31E-04,1.80E-07,3.31E-04,13361,18
beb,3.30E-04,3.30E-04,9.99E-09,3.30E-04,13334,1
cal,3.30E-04,3.32E-04,1.88E-06,3.34E-04,13406,188
isa,3.29E-04,3.31E-04,1.43E-06,3.32E-04,13360,143
sponge,3.29E-04,3.34E-04,4.92E-06,3.39E-04,13488,493
pace,3.29E-04,3.61E-04,3.20E-05,3.93E-04,14579,3207
omar,3.28E-04,3.31E-04,2.14E-06,3.33E-04,13362,214
oby,3.28E-04,3.28E-04,2.00E-08,3.28E-04,13272,2
boys,3.27E-04,4.07E-04,8.05E-05,4.87E-04,16447,8054
fan,3.26E-04,3.43E-04,1.73E-05,3.61E-04,13879,1731
cen,3.26E-04,3.26E-04,1.80E-07,3.26E-04,13182,18
ley,3.24E-04,3.26E-04,1.98E-06,3.28E-04,13191,198
mam,3.24E-04,3.29E-04,5.12E-06,3.34E-04,13293,513
meg,3.24E-04,3.32E-04,8.68E-06,3.41E-04,13436,869
killer,3.24E-04,3.38E-04,1.45E-05,3.52E-04,13660,1447
yellow,3.22E-04,3.68E-04,4.55E-05,4.13E-04,14870,4557
secret,3.19E-04,3.77E-04,5.76E-05,4.34E-04,15230,5765
kid,3.18E-04,3.36E-04,1.73E-05,3.53E-04,13560,1736
chu,3.18E-04,3.19E-04,6.49E-07,3.19E-04,12881,65
kayla,3.18E-04,3.18E-04,3.00E-08,3.18E-04,12851,3
tie,3.18E-04,3.47E-04,2.91E-05,3.76E-04,14025,2918
eng,3.17E-04,3.18E-04,7.49E-07,3.18E-04,12834,75
ria,3.15E-04,3.16E-04,2.30E-07,3.16E-04,12752,23
kill,3.14E-04,3.61E-04,4.74E-05,4.09E-04,14606,4740
tra,3.14E-04,3.14E-04,3.40E-07,3.15E-04,12704,34
lovers,3.14E-04,3.26E-04,1.17E-05,3.37E-04,13164,1175
gel,3.14E-04,3.21E-04,7.11E-06,3.28E-04,12959,712
dre,3.12E-04,3.12E-04,4.00E-08,3.12E-04,12601,4
sky,3.12E-04,3.61E-04,4.98E-05,4.11E-04,14609,4988
katie,3.12E-04,3.16E-04,4.65E-06,3.21E-04,12782,465
dance,3.11E-04,3.55E-04,4.40E-05,3.99E-04,14363,4400
steven,3.09E-04,3.20E-04,1.18E-05,3.32E-04,12951,1182
joseph,3.07E-04,3.37E-04,2.98E-05,3.67E-04,13622,2986
feb,3.07E-04,3.10E-04,2.66E-06,3.12E-04,12519,266
rio,3.07E-04,3.12E-04,5.17E-06,3.17E-04,12601,518
iem,3.06E-04,3.06E-04,0,3.06E-04,12372,0
thomas,3.06E-04,3.73E-04,6.78E-05,4.41E-04,15087,6785
sim,3.04E-04,3.05E-04,1.13E-06,3.06E-04,12340,113
esc,3.04E-04,3.05E-04,1.04E-06,3.06E-04,12325,104
bam,3.03E-04,3.04E-04,6.79E-07,3.05E-04,12286,68
apple,3.03E-04,3.30E-04,2.65E-05,3.56E-04,13318,2654
melissa,3.03E-04,3.13E-04,9.63E-06,3.22E-04,12633,964
mil,3.03E-04,3.03E-04,7.29E-07,3.04E-04,12262,73
nov,3.03E-04,3.08E-04,5.31E-06,3.13E-04,12445,532
ham,3.02E-04,3.17E-04,1.44E-05,3.31E-04,12793,1446
alo,3.02E-04,3.02E-04,4.99E-08,3.02E-04,12208,5
