Word,G2,G2 Ranking,Relative Frequency Difference Ranking,Relative Frequency Difference,Relative frequency - BNC,Relative frequency - Passwords,Absolute frequency - BNC,Absolute frequency - Passwords
who,-106275.9804,68,57,-0.001945324,0.002064118,1.19E-04,206627,4801
com,103068.2465,69,114,0.001041286,1.58E-06,0.001042865,158,42147
monkey,101542.0448,70,113,0.001059676,5.80E-06,0.00106548,581,43061
into,-99655.37902,71,70,-0.001603281,0.001632998,2.97E-05,163470,1201
gurl,99260.74013,72,125,9.86E-04,9.99E-09,9.86E-04,1,39836
boo,97564.68986,73,122,9.94E-04,2.39E-06,9.96E-04,239,40257
can,-97341.34499,74,51,-0.002086071,0.002360749,2.75E-04,236321,11101
then,-97155.9677,75,72,-0.001574319,0.001606585,3.23E-05,160826,1304
ok,96953.33224,76,99,0.001132572,2.87E-05,0.001161262,2872,46932
ms,95571.41794,77,112,0.001063746,1.69E-05,0.001080598,1687,43672
team,95557.15489,78,73,0.001546957,1.89E-04,0.00173598,18922,70159
mar,95360.86024,79,126,9.86E-04,4.14E-06,9.90E-04,414,40002
lover,95233.47825,80,111,0.00106414,1.76E-05,0.001081761,1764,43719
some,-94089.04637,81,68,-0.001640733,0.001711895,7.12E-05,171368,2876
mom,94034.82412,82,128,9.61E-04,2.63E-06,9.63E-04,263,38925
other,-92072.62326,83,76,-0.001410468,0.00141992,9.45E-06,142140,382
them,-89964.53839,84,69,-0.001636394,0.001732374,9.60E-05,173418,3879
cat,89238.54002,85,105,0.001093897,3.95E-05,0.001133376,3952,45805
lyn,88219.44598,86,135,9.01E-04,2.46E-06,9.04E-04,246,36515
nicole,87362.94159,87,138,8.85E-04,1.59E-06,8.87E-04,159,35829
bitch,86543.86976,88,133,9.31E-04,9.36E-06,9.41E-04,937,38015
more,-85374.31221,89,63,-0.001796494,0.002016538,2.20E-04,201864,8893
bi,85277.74032,90,147,8.61E-04,1.26E-06,8.62E-04,126,34852
lee,84997.11862,91,115,0.001039767,3.70E-05,0.001076788,3706,43518
dog,83801.42135,92,94,0.001162754,8.07E-05,0.00124346,8079,50254
ed,83442.04732,93,132,9.38E-04,1.65E-05,9.54E-04,1654,38565
wert,82396.12607,94,157,8.20E-04,1.40E-07,8.20E-04,14,33155
these,-81948.75772,95,88,-0.001246577,0.001253134,6.56E-06,125444,265
all,-80457.28632,96,49,-0.00210049,0.002621737,5.21E-04,262447,21066
also,-80108.29475,97,89,-0.001237108,0.001247549,1.04E-05,124885,422
chris,79785.27035,98,119,0.001011324,4.48E-05,0.001056127,4485,42683
tar,79416.19638,99,158,8.13E-04,2.45E-06,8.16E-04,245,32959
sam,79331.75332,100,129,9.58E-04,3.13E-05,9.89E-04,3132,39989
soccer,77896.36198,101,146,8.64E-04,1.32E-05,8.78E-04,1324,35470
jesus,76796.44285,102,118,0.001012217,5.53E-05,0.001067509,5535,43143
did,-76552.55326,103,78,-0.001363465,0.001432796,6.93E-05,143429,2802
blue,75891.95706,104,100,0.001131658,1.05E-04,0.001236309,10476,49965
mama,75011.26404,105,162,7.91E-04,5.55E-06,7.97E-04,556,32207
ste,74739.52264,106,168,7.47E-04,3.80E-07,7.48E-04,38,30212
bear,74499.95691,107,121,9.95E-04,5.79E-05,0.001052712,5799,42545
pi,74222.79225,108,164,7.87E-04,6.14E-06,7.93E-04,615,32063
eva,74051.67117,109,160,8.05E-04,9.37E-06,8.14E-04,938,32898
should,-73855.68141,110,103,-0.001108218,0.001111212,2.99E-06,111237,121
if,-73697.2144,111,60,-0.001906837,0.002368601,4.62E-04,237107,18662
mon,73672.93401,112,166,7.77E-04,5.42E-06,7.82E-04,543,31623
daniel,73380.04343,113,156,8.28E-04,1.52E-05,8.43E-04,1521,34071
after,-73220.62216,114,95,-0.00115472,0.00117016,1.54E-05,117138,624
ina,72414.62885,115,172,7.26E-04,5.79E-07,7.27E-04,58,29376
kitty,70356.08955,116,170,7.34E-04,3.93E-06,7.37E-04,393,29805
ass,69830.57491,117,175,7.23E-04,3.20E-06,7.26E-04,320,29350
two,-69785.5879,118,75,-0.001412736,0.001559514,1.47E-04,156114,5932
chi,69644.6373,119,179,7.17E-04,2.64E-06,7.20E-04,264,29081
cool,68693.99059,120,143,8.74E-04,3.97E-05,9.14E-04,3971,36941
where,-68677.39884,121,110,-0.001073128,0.001085079,1.20E-05,108621,483
very,-68382.7913,122,93,-0.001181907,0.001229588,4.77E-05,123087,1927
sweet,67017.25793,123,152,8.46E-04,3.65E-05,8.82E-04,3652,35649
cutie,66422.18601,124,195,6.61E-04,6.99E-08,6.61E-04,7,26701
ea,64655.22873,125,194,6.62E-04,2.06E-06,6.65E-04,206,26857
pooh,64537.16462,126,197,6.57E-04,1.57E-06,6.59E-04,157,26625
ako,63905.21999,127,204,6.35E-04,4.99E-08,6.35E-04,5,25678
dr,63834.57804,128,120,0.001004404,1.12E-04,0.001116378,11209,45118
tigger,63663.19878,129,207,6.34E-04,1.30E-07,6.34E-04,13,25630
qui,63329.53003,130,201,6.43E-04,1.37E-06,6.45E-04,137,26060
cha,63212.87165,131,202,6.43E-04,1.50E-06,6.45E-04,150,26064
ashley,62355.70454,132,184,6.92E-04,1.06E-05,7.02E-04,1058,28389
babe,61968.52726,133,205,6.35E-04,2.01E-06,6.37E-04,201,25754
first,-61842.43033,134,101,-0.001121332,0.001185764,6.44E-05,118700,2604
ers,61534.93119,135,217,6.15E-04,2.60E-07,6.15E-04,26,24847
alex,61484.60049,136,176,7.21E-04,1.89E-05,7.40E-04,1896,29920
jordan,61313.41399,137,182,7.00E-04,1.44E-05,7.14E-04,1443,28864
its,-61144.74036,138,77,-0.001397292,0.001629361,2.32E-04,163106,9379
kay,61000.57361,139,200,6.44E-04,4.55E-06,6.48E-04,455,26200
between,-60831.11636,140,134,-9.05E-04,9.06E-04,1.11E-06,90664,45
id,60304.77502,141,206,6.34E-04,4.21E-06,6.39E-04,421,25813
jose,59693.47932,142,212,6.26E-04,3.88E-06,6.30E-04,388,25462
those,-59586.09356,143,137,-8.87E-04,8.88E-04,1.16E-06,88863,47
man,59550.54455,144,71,0.001586466,6.20E-04,0.002206799,62098,89187
time,-59492.41015,145,81,-0.001337901,0.001548196,2.10E-04,154981,8499
den,59359.55992,146,210,6.29E-04,4.85E-06,6.34E-04,486,25625
over,-59217.1163,147,92,-0.001197541,0.001321382,1.24E-04,132276,5005
fu,58520.35936,148,228,5.93E-04,1.05E-06,5.94E-04,105,23994
hello,58402.68569,149,167,7.59E-04,3.84E-05,7.97E-04,3847,32211
maria,58195.74875,150,183,6.98E-04,2.17E-05,7.20E-04,2175,29094
being,-57754.432,151,139,-8.84E-04,8.90E-04,5.77E-06,89068,233
before,-57652.45243,152,142,-8.77E-04,8.82E-04,4.65E-06,88275,188
than,-57554.09104,153,117,-0.001032223,0.001087326,5.51E-05,108846,2227
kat,57466.67225,154,236,5.80E-04,7.69E-07,5.80E-04,77,23452
justin,57270.21797,155,227,5.94E-04,2.83E-06,5.97E-04,283,24140
well,-57030.97078,156,107,-0.001088571,0.001173367,8.48E-05,117459,3427
mys,56819.18266,157,244,5.65E-04,3.00E-08,5.65E-04,3,22821
jessica,56751.64314,158,216,6.16E-04,7.08E-06,6.23E-04,709,25186
like,-56564.96401,159,83,-0.001309648,0.001536868,2.27E-04,153847,9183
through,-55974.36906,160,153,-8.38E-04,8.40E-04,1.93E-06,84076,78
amor,55570.1824,161,253,5.56E-04,3.40E-07,5.57E-04,34,22492
luis,55563.61874,162,238,5.76E-04,2.58E-06,5.78E-04,258,23365
out,-55316.65215,163,84,-0.00130855,0.001551902,2.43E-04,155352,9835
cho,55207.02654,164,251,5.58E-04,8.99E-07,5.59E-04,90,22598
juan,54804.85673,165,233,5.82E-04,4.64E-06,5.87E-04,464,23704
star,54764.38932,166,161,7.95E-04,6.63E-05,8.61E-04,6637,34796
elle,54629.2629,167,256,5.48E-04,4.50E-07,5.48E-04,45,22167
que,54560.48563,168,254,5.55E-04,1.25E-06,5.56E-04,125,22479
hottie,54429.36799,169,260,5.41E-04,2.00E-08,5.41E-04,2,21855
now,-54314.65061,170,91,-0.001199764,0.001376705,1.77E-04,137814,7151
ann,54097.34225,171,199,6.46E-04,1.95E-05,6.66E-04,1952,26906
only,-54091.45353,172,87,-0.001285154,0.001527468,2.42E-04,152906,9793
carlos,53893.70522,173,232,5.82E-04,6.25E-06,5.89E-04,626,23790
ara,53417.18382,174,262,5.37E-04,5.49E-07,5.38E-04,55,21726
ash,53371.84223,175,222,6.09E-04,1.26E-05,6.22E-04,1263,25141
purple,53273.17148,176,220,6.11E-04,1.31E-05,6.24E-04,1309,25203
marie,53174.98747,177,209,6.31E-04,1.81E-05,6.49E-04,1816,26240
see,-53023.40319,178,109,-0.001074395,0.001186483,1.12E-04,118772,4530
people,-53010.9897,179,104,-0.001108157,0.001240287,1.32E-04,124158,5340
years,-52888.68198,180,141,-8.77E-04,9.01E-04,2.39E-05,90224,967
most,-52821.15287,181,131,-9.39E-04,9.87E-04,4.72E-05,98759,1909
pie,52614.17582,182,226,5.97E-04,1.16E-05,6.08E-04,1159,24588
pimp,52494.32348,183,265,5.31E-04,8.39E-07,5.32E-04,84,21481
one,-51490.15826,184,61,-0.001896328,0.002910985,0.001014657,291402,41007
know,-50616.94835,185,108,-0.001087113,0.001231466,1.44E-04,123275,5834
aru,50587.89534,186,284,5.05E-04,2.20E-07,5.06E-04,22,20430
mel,50440.08377,187,266,5.31E-04,3.51E-06,5.34E-04,351,21587
fer,50410.7937,188,268,5.23E-04,2.51E-06,5.26E-04,251,21255
because,-50361.80298,189,154,-8.30E-04,8.51E-04,2.10E-05,85185,849
jan,50358.74376,190,231,5.85E-04,1.42E-05,5.99E-04,1420,24224
dan,50305.33917,191,243,5.65E-04,9.89E-06,5.75E-04,990,23233
honey,50232.89054,192,229,5.86E-04,1.48E-05,6.01E-04,1479,24297
bob,50227.96513,193,188,6.88E-04,4.51E-05,7.33E-04,4519,29633
ing,50152.40643,194,278,5.13E-04,1.52E-06,5.15E-04,152,20804
tweet,50064.9668,195,288,5.00E-04,2.20E-07,5.00E-04,22,20220
loves,50033.69022,196,235,5.80E-04,1.38E-05,5.94E-04,1385,24012
jon,49846.57472,197,263,5.37E-04,5.49E-06,5.42E-04,550,21924
red,49569.91605,198,136,8.97E-04,1.51E-04,0.001048333,15136,42368
nie,49534.96586,199,291,4.98E-04,5.09E-07,4.99E-04,51,20147
many,-49455.6496,200,148,-8.59E-04,8.96E-04,3.62E-05,89660,1465
michelle,49263.08552,201,264,5.34E-04,6.06E-06,5.40E-04,607,21840
yan,49162.14451,202,294,4.93E-04,3.70E-07,4.93E-04,37,19932
ox,49117.24213,203,282,5.06E-04,1.92E-06,5.08E-04,192,20530
big,49095.93767,204,116,0.00103868,2.56E-04,0.001294234,25582,52306
mari,48966.05423,205,298,4.89E-04,2.40E-07,4.90E-04,24,19789
think,-48914.85296,206,144,-8.73E-04,9.18E-04,4.49E-05,91855,1815
mia,48815.28242,207,286,5.05E-04,2.16E-06,5.07E-04,216,20491
mac,48629.24939,208,257,5.47E-04,9.81E-06,5.57E-04,982,22518
daddy,48554.25127,209,225,5.97E-04,2.20E-05,6.19E-04,2198,25012
work,-48551.66354,210,145,-8.67E-04,9.13E-04,4.51E-05,91354,1823
lin,48434.6216,211,290,4.99E-04,1.88E-06,5.01E-04,188,20240
mah,48365.16065,212,303,4.86E-04,4.30E-07,4.86E-04,43,19640
cs,48335.90116,213,269,5.23E-04,5.79E-06,5.29E-04,580,21387
ura,48038.04187,214,309,4.80E-04,2.20E-07,4.80E-04,22,19406
che,48003.94712,215,300,4.88E-04,1.07E-06,4.89E-04,107,19766
kim,47425.37789,216,255,5.51E-04,1.33E-05,5.64E-04,1328,22793
ell,47348.52181,217,308,4.81E-04,1.05E-06,4.82E-04,105,19494
made,-46869.09887,218,140,-8.80E-04,9.43E-04,6.27E-05,94386,2533
ama,46374.41758,219,323,4.65E-04,3.60E-07,4.65E-04,36,18807
mae,46270.63039,220,319,4.70E-04,9.39E-07,4.71E-04,94,19016
forever,46199.8317,221,249,5.59E-04,1.84E-05,5.77E-04,1846,23331
crazy,46162.98513,222,252,5.56E-04,1.79E-05,5.74E-04,1789,23204
hon,46004.31825,223,306,4.83E-04,3.08E-06,4.86E-04,308,19651
nha,46001.37595,224,331,4.57E-04,3.00E-08,4.57E-04,3,18480
ale,45991.89651,225,287,5.04E-04,6.62E-06,5.11E-04,663,20643
right,-45988.05203,226,155,-8.29E-04,8.75E-04,4.60E-05,87633,1859
jen,45905.94543,227,314,4.77E-04,2.32E-06,4.79E-04,232,19367
ip,45901.69094,228,317,4.71E-04,1.52E-06,4.72E-04,152,19088
hannah,45602.16638,229,283,5.05E-04,7.60E-06,5.13E-04,761,20730
such,-45562.81714,230,169,-7.39E-04,7.54E-04,1.54E-05,75524,621
your,-45514.79059,231,98,-0.001134593,0.001381929,2.47E-04,138337,9996
anthony,45228.23257,232,241,5.67E-04,2.37E-05,5.91E-04,2369,23888
sex,44278.35119,233,181,7.08E-04,8.33E-05,7.92E-04,8341,31993
joshua,44242.17529,234,316,4.73E-04,4.23E-06,4.77E-04,423,19276
gat,44224.40272,235,344,4.41E-04,1.60E-07,4.41E-04,16,17843
ball,43715.16009,236,189,6.86E-04,7.57E-05,7.61E-04,7573,30769
dragon,43616.51029,237,295,4.92E-04,8.99E-06,5.01E-04,900,20242
ong,43593.91607,238,354,4.35E-04,1.20E-07,4.35E-04,12,17568
does,-43568.89346,239,191,-6.79E-04,6.87E-04,7.25E-06,68741,293
both,-43545.17163,240,190,-6.80E-04,6.87E-04,7.45E-06,68806,301
brandon,43365.99815,241,335,4.49E-04,1.97E-06,4.51E-04,197,18221
moo,43127.11513,242,355,4.33E-04,3.90E-07,4.33E-04,39,17516
eli,42969.70686,243,353,4.35E-04,7.19E-07,4.35E-04,72,17597
ryan,42920.87988,244,301,4.86E-04,9.31E-06,4.96E-04,932,20027
bebe,42915.31846,245,361,4.28E-04,1.50E-07,4.28E-04,15,17312
mail,42712.97605,246,239,5.73E-04,3.41E-05,6.07E-04,3409,24526
james,42627.16625,247,174,7.23E-04,1.02E-04,8.25E-04,10197,33347
aw,42519.52888,248,348,4.38E-04,1.63E-06,4.39E-04,163,17761
bug,42184.06614,249,337,4.49E-04,3.70E-06,4.52E-04,370,18283
sunshine,41728.68898,250,297,4.91E-04,1.31E-05,5.04E-04,1313,20361
ray,41681.09999,251,274,5.21E-04,2.12E-05,5.42E-04,2118,21897
government,-41641.18797,252,214,-6.21E-04,6.22E-04,1.04E-06,62268,42
joe,41558.09208,253,230,5.85E-04,4.33E-05,6.29E-04,4337,25409
still,-41509.75064,254,178,-7.18E-04,7.47E-04,2.91E-05,74773,1176
ax,41376.0016,255,372,4.21E-04,9.19E-07,4.22E-04,92,17036
down,-41260.55814,256,149,-8.59E-04,9.59E-04,1.01E-04,96025,4063
tay,41067.83803,257,369,4.22E-04,1.41E-06,4.23E-04,141,17096
kiss,41007.31554,258,267,5.31E-04,2.63E-05,5.57E-04,2637,22509
mer,40973.35132,259,378,4.12E-04,4.40E-07,4.13E-04,44,16673
playboy,40917.61139,260,371,4.21E-04,1.49E-06,4.22E-04,149,17064
ros,40779.20856,261,327,4.59E-04,8.28E-06,4.68E-04,829,18896
however,-40630.04452,262,224,-6.04E-04,6.04E-04,6.68E-07,60498,27
yahoo,40487.0646,263,391,4.04E-04,1.50E-07,4.04E-04,15,16337
candy,40420.96235,264,358,4.31E-04,3.68E-06,4.34E-04,368,17558
him,-40411.28027,265,90,-0.001217682,0.001648441,4.31E-04,165016,17409
ken,40190.99178,266,261,5.39E-04,3.19E-05,5.70E-04,3192,23053
josh,40173.43524,267,362,4.28E-04,3.58E-06,4.31E-04,358,17428
might,-40039.79039,268,219,-6.13E-04,6.17E-04,4.11E-06,61811,166
rox,40011.23351,269,404,3.98E-04,4.99E-08,3.98E-04,5,16089
lou,39882.41566,270,345,4.40E-04,6.25E-06,4.46E-04,626,18031
going,-39820.27473,271,198,-6.49E-04,6.63E-04,1.44E-05,66414,581
andrea,39788.0746,272,370,4.21E-04,3.21E-06,4.25E-04,321,17162
ino,39733.53505,273,407,3.95E-04,2.00E-08,3.95E-04,2,15958
butterfly,39691.77803,274,347,4.39E-04,6.44E-06,4.45E-04,645,18000
cookie,39325.26792,275,399,4.00E-04,8.49E-07,4.00E-04,85,16182
cris,39264.34829,276,411,3.91E-04,8.99E-08,3.91E-04,9,15813
must,-39142.20847,277,185,-6.92E-04,7.25E-04,3.32E-05,72571,1343
mike,39078.35186,278,250,5.58E-04,4.38E-05,6.02E-04,4385,24335
shorty,39045.10515,279,414,3.90E-04,1.50E-07,3.90E-04,15,15758
rocks,38927.02039,280,277,5.17E-04,2.92E-05,5.46E-04,2925,22062
hate,38814.22476,281,275,5.20E-04,3.09E-05,5.51E-04,3097,22286
gal,38796.21565,282,400,3.99E-04,1.44E-06,4.01E-04,144,16189
mal,38748.75323,283,396,4.01E-04,1.69E-06,4.02E-04,169,16257
ron,38666.73987,284,326,4.59E-04,1.33E-05,4.73E-04,1332,19104
chick,38505.95242,285,385,4.08E-04,3.11E-06,4.11E-04,311,16610
ani,38494.03174,286,418,3.84E-04,1.30E-07,3.84E-04,13,15526
lynn,38484.91451,287,367,4.22E-04,5.59E-06,4.28E-04,560,17287
tyler,38463.17602,288,390,4.04E-04,2.65E-06,4.07E-04,265,16453
rey,38269.56738,289,416,3.86E-04,5.59E-07,3.87E-04,56,15638
ren,38233.72679,290,422,3.82E-04,1.90E-07,3.82E-04,19,15453
softball,38213.69639,291,424,3.81E-04,1.20E-07,3.81E-04,12,15408
las,38150.22476,292,387,4.06E-04,3.44E-06,4.10E-04,344,16562
mommy,38051.96875,293,425,3.80E-04,1.90E-07,3.81E-04,19,15380
while,-38018.23111,294,242,-5.65E-04,5.66E-04,6.68E-07,56642,27
cam,37847.93917,295,384,4.08E-04,4.25E-06,4.12E-04,425,16667
nik,37746.58492,296,429,3.80E-04,4.30E-07,3.80E-04,43,15371
max,37653.2423,297,334,4.50E-04,1.37E-05,4.64E-04,1375,18760
jason,37651.90292,298,349,4.37E-04,1.06E-05,4.48E-04,1060,18108
pop,37616.85822,299,276,5.20E-04,3.57E-05,5.56E-04,3573,22478
or,-37587.03787,300,58,-0.001918701,0.003704688,0.001785986,370855,72180
any,-37554.61775,301,124,-9.89E-04,0.001239787,2.51E-04,124108,10145
ben,37426.90701,302,279,5.07E-04,3.17E-05,5.39E-04,3175,21785
bubbles,37194.98666,303,389,4.05E-04,4.81E-06,4.10E-04,482,16553
ali,37128.77985,304,341,4.44E-04,1.35E-05,4.58E-04,1356,18499
ide,37086.56546,305,435,3.77E-04,8.29E-07,3.78E-04,83,15272
dee,37010.954,306,376,4.14E-04,6.88E-06,4.21E-04,689,16999
year,-36959.19032,307,186,-6.90E-04,7.37E-04,4.73E-05,73778,1913
against,-36845.64378,308,248,-5.59E-04,5.61E-04,2.62E-06,56208,106
anu,36787.60802,309,465,3.66E-04,4.00E-08,3.66E-04,4,14789
michael,36782.02277,310,203,6.37E-04,9.51E-05,7.32E-04,9518,29582
amanda,36664.86561,311,386,4.07E-04,6.31E-06,4.14E-04,632,16717
ola,36578.83952,312,456,3.69E-04,4.99E-07,3.69E-04,50,14932
even,-36494.08347,313,192,-6.76E-04,7.20E-04,4.43E-05,72077,1790
ere,36457.57777,314,433,3.77E-04,1.67E-06,3.79E-04,167,15323
lucky,36440.61572,315,273,5.21E-04,4.11E-05,5.62E-04,4114,22728
hay,36411.54656,316,363,4.28E-04,1.13E-05,4.39E-04,1132,17738
los,36190.48815,317,356,4.32E-04,1.29E-05,4.45E-04,1292,17972
thought,-36124.75184,318,245,-5.62E-04,5.68E-04,5.79E-06,56883,234
punk,36060.5674,319,409,3.94E-04,4.94E-06,3.99E-04,495,16121
yang,36035.98328,320,439,3.76E-04,2.01E-06,3.78E-04,201,15265
back,-36019.80243,321,150,-8.59E-04,0.001022204,1.64E-04,102327,6611
super,35884.69799,322,342,4.43E-04,1.66E-05,4.59E-04,1666,18563
take,-35867.88749,323,193,-6.70E-04,7.17E-04,4.64E-05,71735,1874
mor,35745.10432,324,458,3.67E-04,1.26E-06,3.68E-04,126,14892
another,-35736.78059,325,240,-5.72E-04,5.81E-04,9.70E-06,58188,392
sie,35736.69566,326,480,3.57E-04,1.80E-07,3.57E-04,18,14445
lovely,35488.81826,327,247,5.59E-04,6.27E-05,6.22E-04,6278,25141
three,-35470.67778,328,177,-7.21E-04,7.97E-04,7.63E-05,79812,3083
jasmine,35408.56945,329,464,3.66E-04,1.56E-06,3.68E-04,156,14861
ice,35371.43561,330,280,5.07E-04,4.04E-05,5.48E-04,4046,22136
barbie,35316.48099,331,477,3.59E-04,7.79E-07,3.60E-04,78,14539
how,-35288.50876,332,151,-8.48E-04,0.001014113,1.66E-04,101517,6703
mag,35281.30856,333,468,3.63E-04,1.32E-06,3.64E-04,132,14726
bub,35127.35894,334,494,3.51E-04,1.60E-07,3.51E-04,16,14190
nat,35110.56592,335,463,3.66E-04,1.98E-06,3.68E-04,198,14880
hie,34960.10351,336,496,3.50E-04,2.30E-07,3.50E-04,23,14158
our,-34956.42014,337,159,-8.09E-04,9.49E-04,1.40E-04,95006,5663
superman,34921.66543,338,478,3.59E-04,1.22E-06,3.60E-04,122,14545
anna,34778.98376,339,320,4.67E-04,2.78E-05,4.95E-04,2787,19988
san,34712.26223,340,329,4.58E-04,2.53E-05,4.84E-04,2529,19545
soy,34516.91707,341,488,3.54E-04,1.10E-06,3.55E-04,110,14338
ton,34441.96003,342,437,3.77E-04,4.82E-06,3.82E-04,483,15424
make,-34419.42161,343,180,-7.12E-04,7.94E-04,8.15E-05,79481,3295
gui,34384.47933,344,490,3.53E-04,1.17E-06,3.54E-04,117,14310
han,34264.94787,345,484,3.57E-04,1.82E-06,3.58E-04,182,14485
pre,33908.52733,346,486,3.56E-04,2.18E-06,3.58E-04,218,14456
much,-33747.32024,347,165,-7.83E-04,9.20E-04,1.37E-04,92142,5540
mis,33720.27358,348,509,3.44E-04,8.39E-07,3.44E-04,84,13919
miguel,33654.74931,349,449,3.72E-04,5.45E-06,3.78E-04,546,15260
cd,33652.66825,350,398,4.00E-04,1.15E-05,4.11E-04,1154,16616
mickey,33589.89757,351,438,3.76E-04,6.29E-06,3.82E-04,630,15439
nel,33575.63503,352,522,3.37E-04,3.00E-07,3.37E-04,30,13635
gie,33568.75954,353,524,3.36E-04,2.30E-07,3.36E-04,23,13599
