"Day","Month","Year","Frequency"
"19","11","1927","26"
"15","3","2005","66"
"18","1","1979","34"
"25","10","1916","16"
"26","4","1995","70"
"17","11","1948","3"
"13","10","1980","94"
"13","10","1971","28"
"22","5","2009","23"
"28","1","1938","4"
"23","10","2007","119"
"14","7","1926","15"
"8","10","1998","19"
"8","0","2013","5"
"28","10","1976","46"
"5","1","1919","3"
"25","10","1939","13"
"22","1","2002","40"
"10","10","1966","19"
"21","11","1971","21"
"13","9","1955","4"
"6","11","1918","3"
"7","7","1937","3"
"20","2","1985","103"
"17","0","1921","14"
"16","10","1952","5"
"6","1","1916","3"
"21","8","1979","45"
"17","8","1941","1"
"12","2","1995","99"
"28","9","1954","3"
"5","0","1937","3"
"1","9","1978","56"
"18","6","1996","60"
"2","4","2004","54"
"2","7","1965","7"
"9","8","1956","1"
"31","4","1955","1"
"13","10","1997","41"
"26","1","1926","13"
"14","9","2011","14"
"9","3","2012","8"
"6","4","1921","6"
"5","10","1952","1"
"23","0","1996","97"
"12","8","1968","15"
"15","7","1982","79"
"17","7","1987","133"
"10","6","1960","9"
"30","7","2002","20"
"24","0","1947","3"
"17","8","1923","14"
"5","1","1987","95"
"28","10","1964","10"
"3","0","1989","134"
"20","8","2004","68"
"15","9","1931","17"
"21","8","1985","126"
"22","10","1927","21"
"4","10","2008","34"
"15","9","2007","80"
"8","2","1929","2"
"16","4","1971","18"
"25","5","1981","58"
"14","6","2006","85"
"26","4","1919","5"
"27","3","2007","70"
"28","10","1951","4"
"18","3","1986","111"
"6","5","2000","14"
"9","5","1964","9"
"6","3","1923","6"
"15","4","1914","5"
"2","6","1935","5"
"26","4","1956","5"
"10","0","1965","9"
"18","4","1960","8"
"2","1","1941","1"
"14","0","1992","202"
"29","6","1953","6"
"31","2","1985","4"
"19","2","1971","13"
"6","3","1919","9"
"9","10","1973","17"
"26","8","1914","8"
"22","11","1911","1"
"6","2","1949","2"
"2","5","1931","13"
"6","10","1957","8"
"31","0","1978","63"
"30","3","1942","2"
"20","6","1965","15"
"22","4","1921","4"
"9","0","1942","4"
"4","7","1940","5"
"24","2","1942","4"
"14","11","2012","15"
"15","1","1971","9"
"28","2","1943","2"
"10","6","1921","5"
"20","1","1992","148"
"7","2","1997","30"
"29","4","1919","5"
"24","7","1969","19"
"19","8","1971","22"
"17","2","1956","11"
"10","9","1957","1"
"1","8","1928","9"
"25","6","1917","6"
"17","9","1946","2"
"10","4","1935","10"
"6","10","1966","8"
"22","10","1962","12"
"15","10","1966","20"
"27","3","1995","76"
"12","1","1961","5"
"6","5","1970","13"
"20","11","1980","63"
"7","2","1988","111"
"10","11","1960","9"
"25","4","1955","7"
"1","1","1992","119"
"11","9","2009","14"
"22","4","1949","6"
"13","10","2008","46"
"7","9","1911","1"
"26","8","1969","11"
"6","2","1917","8"
"4","3","1977","16"
"10","10","1964","11"
"29","4","2009","21"
"23","1","1972","15"
"3","3","1933","11"
"15","0","2005","98"
"20","6","1931","15"
"27","8","1983","80"
"2","6","2010","10"
"4","1","1955","3"
"18","5","1927","12"
"24","0","1994","131"
"15","11","1971","22"
"2","5","1980","50"
"27","5","1959","12"
"19","1","1977","45"
"22","2","1951","6"
"9","3","1981","50"
"16","4","2005","78"
"23","10","2011","16"
"4","3","1962","3"
"15","3","1954","4"
"13","3","1940","5"
"7","10","1989","130"
"28","1","1945","4"
"16","2","2005","67"
"23","9","1954","4"
"25","10","1965","9"
"2","6","1921","4"
"6","1","1968","2"
"23","0","2002","52"
"21","5","2011","5"
"16","7","1934","7"
"24","8","2005","63"
"12","5","1934","12"
"5","5","2008","54"
"27","1","1948","2"
"27","5","1986","119"
"17","3","1980","52"
"1","4","1939","4"
"21","8","1949","2"
"30","8","1961","1"
"7","1","1942","1"
"25","8","1970","10"
"6","10","1918","10"
"31","11","1945","1"
"2","9","1952","5"
"11","11","1992","125"
"6","9","2008","35"
"16","7","1963","5"
"18","11","1979","48"
"28","4","1953","3"
"8","0","1933","12"
"27","4","1970","10"
"10","7","1934","8"
"8","11","1917","5"
"15","0","1966","20"
"21","10","1913","8"
"31","4","1917","4"
"19","10","1929","30"
"6","10","1951","2"
"19","9","1990","216"
"14","5","1964","3"
"10","10","1982","123"
"15","4","1924","8"
"1","4","1941","5"
"16","6","1956","4"
"5","2","2004","29"
"1","4","1987","275"
"27","7","1971","8"
"28","6","1952","3"
"7","2","1927","6"
"11","5","2008","41"
"21","9","1920","13"
"30","0","1988","199"
"1","2","1956","11"
"22","1","1916","6"
"29","6","1968","6"
"20","9","1942","3"
"20","10","1933","34"
"7","10","1980","44"
"26","11","1932","10"
"13","8","2003","35"
"26","7","1924","5"
"30","10","1918","9"
"25","3","1966","3"
"12","7","1939","3"
"4","9","1961","4"
"3","6","1993","93"
"23","7","1920","11"
"16","2","2009","29"
"29","2","1989","5"
"1","2","1949","7"
"5","6","1976","25"
"21","5","2007","71"
"23","0","1959","7"
"11","7","1990","173"
"8","9","1991","98"
"22","8","1984","112"
"18","10","1915","15"
"18","9","1948","5"
"10","4","1914","4"
"28","6","2012","12"
"25","1","1992","121"
"27","6","1985","123"
"8","6","1957","1"
"23","5","1937","5"
"20","2","1940","10"
"28","0","1920","15"
"30","10","1992","165"
"27","2","2012","9"
"8","6","1936","5"
"29","8","1994","109"
"13","1","1977","60"
"4","0","1959","9"
"21","4","1924","10"
"2","5","1935","7"
"20","2","1994","80"
"7","4","1997","22"
"14","8","1922","14"
"1","3","1928","10"
"30","5","1969","14"
"30","2","1916","9"
"13","9","1973","23"
"16","7","1996","43"
"12","1","1982","76"
"11","6","1966","8"
"10","1","1917","2"
"24","10","1939","10"
"27","1","2010","9"
"15","6","1996","50"
"17","8","1935","5"
"13","4","1970","9"
"21","10","1972","24"
"31","4","1961","2"
"28","2","1986","120"
"16","9","2009","14"
"1","8","1989","149"
"28","3","1955","4"
"17","7","1932","12"
"21","3","1982","72"
"19","1","1914","5"
"8","11","1971","13"
"11","10","1988","190"
"3","5","1997","36"
"4","6","1984","84"
"5","7","1948","3"
"27","11","1921","11"
"23","2","1945","2"
"15","10","1960","7"
"25","4","1979","42"
"27","4","1963","5"
"18","8","1954","2"
"8","9","1994","89"
"12","2","1942","5"
"8","8","1926","10"
"29","8","1949","1"
"29","7","1977","26"
"21","5","1955","6"
"16","2","1916","8"
"12","11","1984","115"
"25","4","1927","25"
"23","7","1941","2"
"5","0","1957","2"
"14","11","2011","31"
"9","3","1958","1"
"11","10","1918","4"
"17","9","1988","169"
"23","11","1976","46"
"14","11","1952","7"
"19","10","1966","17"
"14","9","1956","4"
"15","11","1949","1"
"25","2","1914","6"
"11","11","1928","18"
"3","1","1918","3"
"20","4","1934","11"
"1","7","2004","36"
"3","5","1974","14"
"18","0","1922","21"
"18","9","2004","103"
"7","3","2004","58"
"1","9","1945","4"
"13","4","1934","5"
"22","11","1997","53"
"25","3","2012","11"
"1","0","1933","11"
"30","8","1913","4"
"25","0","1961","13"
"22","4","1940","4"
"4","5","2009","39"
"4","5","2003","51"
"24","6","1922","8"
"7","8","1972","16"
"22","1","1980","46"
"9","1","1929","4"
"15","3","1982","70"
"9","2","1989","119"
"15","6","1913","6"
"20","11","1991","202"
"17","8","1938","4"
"10","9","1920","8"
"20","5","1978","39"
"24","5","1915","6"
"15","1","2010","9"
"22","1","1992","144"
"20","9","1951","3"
"6","3","1974","10"
"6","11","1982","57"
"27","5","1931","13"
"16","0","1912","1"
"24","4","1961","10"
"4","3","1986","82"
"24","11","1958","3"
"12","5","1940","4"
"16","11","1954","4"
"16","0","1909","1"
"21","0","2010","20"
"24","4","1943","1"
"28","5","1943","3"
"13","5","1915","4"
"3","9","1935","9"
"1","3","1947","2"
"1","5","1960","7"
"19","4","1969","12"
"26","5","1948","6"
"6","11","1943","1"
"13","3","1909","2"
"17","4","1979","41"
"6","2","1928","5"
"25","11","1948","8"
"12","2","1938","6"
"2","11","1918","8"
"12","9","1972","22"
"15","7","1986","108"
"10","1","1997","26"
"19","7","1917","6"
"22","8","1924","6"
"3","8","2011","10"
"20","11","1968","15"
"21","1","1989","160"
"15","1","1966","9"
"18","10","1918","13"
"9","5","1970","9"
"4","4","1919","6"
"3","3","1997","40"
"29","11","1985","144"
"26","3","1920","3"
"2","4","1923","7"
"26","1","1931","11"
"19","10","2012","13"
"20","0","1927","23"
"13","10","1963","10"
"20","9","1929","20"
"10","11","1934","11"
"22","6","1956","3"
"13","7","1987","136"
"27","0","1934","17"
"11","0","1957","9"
"5","3","1990","120"
"18","7","1969","10"
"16","8","2009","16"
"10","3","1955","6"
"5","9","1993","77"
"1","2","1953","6"
"4","0","1961","2"
"14","3","1925","18"
"31","7","1945","2"
"29","11","1923","10"
"5","5","1987","156"
"6","11","1999","27"
"9","3","1997","29"
"1","6","1947","4"
"5","7","2005","72"
"8","9","1980","37"
"20","7","1925","16"
"7","0","1943","1"
"25","7","1994","79"
"26","2","1988","137"
"9","1","1933","7"
"17","0","1951","5"
"16","3","2008","52"
"25","11","1939","20"
"13","5","1971","7"
"15","5","1932","7"
"18","10","1985","107"
"8","8","2002","70"
"19","9","1972","26"
"12","7","1974","10"
"4","6","2003","38"
"13","11","1996","54"
"10","4","1977","40"
"28","7","1958","3"
"24","10","1913","10"
"25","4","1930","27"
"10","11","1999","38"
"14","10","1982","114"
"19","2","1920","13"
"3","4","1916","4"
"8","0","1948","2"
"19","10","1988","278"
"30","2","1971","1"
"30","0","1993","153"
"23","11","1953","7"
"12","6","2004","77"
"1","10","2003","49"
"30","9","1964","9"
"19","5","1916","8"
"4","8","1993","114"
"15","0","1942","5"
"25","8","1933","8"
"2","10","1987","137"
"11","9","1993","114"
"20","4","1999","33"
"15","8","1950","4"
"25","1","1903","1"
"20","11","1933","36"
"8","7","1933","3"
"30","6","1913","3"
"30","3","1969","14"
"13","2","1972","22"
"20","2","1958","5"
"28","6","1920","5"
"22","10","1944","10"
"18","1","1981","42"
"14","8","1952","1"
"17","8","1991","143"
"31","4","1940","1"
"24","8","1937","7"
"23","3","1977","35"
"27","9","1989","160"
"6","3","1996","27"
"17","6","1926","18"
"5","10","1979","42"
"26","4","1986","126"
"3","2","1940","2"
"5","11","1960","4"
"31","4","2010","4"
"2","2","1905","2"
"12","11","1954","3"
"10","3","1960","12"
"30","8","1981","41"
"7","1","1973","4"
"25","8","1988","156"
"21","10","1905","1"
"19","1","1937","4"
"25","11","1976","36"
"20","3","1968","10"
"9","1","1992","87"
"2","7","1983","63"
"28","1","1941","2"
"19","1","1957","6"
"12","4","1920","9"
"10","0","1982","103"
"19","7","1991","144"
"25","5","1992","134"
"12","7","1937","5"
"19","11","1974","37"
"3","9","1929","8"
"28","3","1979","45"
"19","0","1936","12"
"19","4","1936","15"
"21","1","1940","5"
"23","0","2005","102"
"22","10","1917","11"
"4","8","1984","68"
"24","1","1977","30"
"2","10","1947","1"
"8","2","1999","9"
"21","0","2007","150"
"14","3","1928","17"
"23","4","1925","12"
"11","0","1964","10"
"5","4","1957","1"
"5","9","1996","44"
"6","11","1942","1"
"26","10","1966","13"
"13","2","1989","177"
"3","8","1972","9"
"28","7","1988","130"
"30","10","1963","8"
"14","4","2012","7"
"20","6","1961","6"
"18","2","1953","1"
"15","10","1981","113"
"16","7","1998","21"
"8","8","1922","10"
"24","5","1998","20"
"2","6","1970","14"
"14","2","1928","26"
"11","3","1938","6"
"4","10","1993","73"
"19","10","1922","40"
"6","3","1982","42"
"9","2","1907","1"
"16","0","1957","5"
"31","7","1944","2"
"7","11","1936","3"
"10","4","1984","105"
"19","6","1984","131"
"18","6","1943","2"
"7","10","1925","13"
"30","11","1982","109"
"14","2","1993","138"
"22","4","1910","1"
"29","8","1948","1"
"12","0","1960","10"
"15","9","1957","2"
"29","10","1973","29"
"24","3","1978","27"
"1","11","2000","86"
"16","5","2011","6"
"2","6","1989","154"
"5","2","1933","1"
"12","3","1919","5"
"13","11","1987","158"
"17","8","1968","15"
"1","1","1968","14"
"18","1","1990","147"
"27","3","2010","2"
"20","10","1978","57"
"24","8","1975","26"
"9","11","1942","1"
"11","11","1984","102"
"19","0","1969","20"
"15","1","1952","4"
"14","9","1946","3"
"4","3","1994","60"
"11","11","1913","37"
"14","9","1959","5"
"11","3","1989","185"
"6","8","1978","32"
"29","7","1926","10"
"19","2","1966","6"
"26","10","2010","24"
"23","0","1975","42"
"28","11","1991","207"
"26","5","1956","2"
"17","2","1952","2"
"19","9","1936","6"
"1","5","1905","1"
"9","3","1990","131"
"2","1","1953","1"
"15","2","1944","3"
"29","7","2004","44"
"11","7","1913","3"
"12","0","1983","104"
"10","8","1961","3"
"1","6","1919","11"
"17","0","1940","8"
"23","8","1997","47"
"23","11","1932","30"
"28","2","1954","8"
"26","0","1989","177"
"15","10","1955","13"
"2","10","1964","5"
"29","2","1943","1"
"28","4","1964","7"
"6","5","1983","50"
"9","1","1961","7"
"14","7","1952","1"
"22","11","1944","82"
"28","3","1973","12"
"17","8","1967","13"
"22","8","1983","79"
"7","0","1956","4"
"2","3","1915","4"
"6","1","1997","32"
"30","10","1917","10"
"5","2","2003","34"
"14","4","1951","4"
"17","6","1987","129"
"21","10","1951","3"
"10","8","1981","60"
"16","11","1996","43"
"6","11","1972","14"
"21","10","1961","7"
"1","4","1942","3"
"30","5","2005","48"
"10","1","1944","3"
"16","10","1911","1"
"30","2","1963","2"
"29","9","1915","4"
"12","7","1940","1"
"5","9","1927","12"
"7","9","1938","1"
"14","6","1979","46"
"22","4","1948","2"
"31","6","1987","2"
"10","11","2007","107"
"19","9","1928","16"
"2","6","2003","29"
"24","6","2005","65"
"8","5","1958","2"
"9","9","1929","19"
"9","3","1978","29"
"28","5","1922","10"
"1","3","1946","2"
"31","4","1934","4"
"20","8","1974","21"
"9","4","2009","28"
"13","9","1969","16"
"17","2","1955","3"
"5","0","1920","8"
"3","6","1956","3"
"21","4","1953","2"
"26","0","1926","13"
"9","10","1923","14"
"29","3","1992","107"
"6","9","2012","9"
"6","6","1979","38"
"17","11","1978","64"
"1","5","2008","87"
"30","9","1975","20"
"17","11","1921","13"
"16","3","1913","9"
"24","9","1987","159"
"31","2","2010","9"
"30","5","1917","9"
"17","2","1946","3"
"27","7","1974","19"
"8","2","1946","1"
"23","6","2008","45"
"26","8","1971","8"
"30","0","1973","23"
"6","5","1982","49"
"9","3","1940","2"
"4","1","1938","3"
"14","2","1946","7"
"6","6","1943","2"
"2","2","1957","11"
"13","6","1939","3"
"7","10","1948","3"
"18","1","1946","1"
"23","1","1961","7"
"26","6","1991","192"
"18","1","1924","7"
"1","0","2001","20"
"5","6","2008","50"
"5","4","1940","1"
"25","9","1925","21"
"4","9","1980","21"
"24","9","2005","100"
"8","0","1919","9"
"5","5","1922","7"
"19","7","1950","3"
"28","2","1960","8"
"22","11","1929","25"
"13","6","1914","9"
"31","11","1986","3"
"28","2","2000","22"
"19","11","1996","115"
"2","1","1983","62"
"30","4","1993","94"
"1","8","1966","10"
"31","7","1931","12"
"7","4","1915","2"
"2","11","2009","26"
"17","7","1943","2"
"8","4","1917","7"
"15","9","1949","3"
"24","4","1985","93"
"25","5","1995","109"
"26","6","1925","3"
"18","1","2008","64"
"3","7","1958","1"
"14","8","1942","1"
"7","4","2003","32"
"1","4","1957","4"
"10","5","1935","4"
"29","5","1964","8"
"4","1","1957","2"
"28","8","2007","66"
"8","3","1916","2"
"13","7","1909","1"
"30","7","1972","7"
"10","2","1954","8"
"21","7","1950","3"
"3","2","1925","13"
"19","10","1937","7"
"6","4","1991","116"
"20","6","1949","8"
"31","9","1971","2"
"24","10","1964","13"
"22","2","1988","182"
"18","2","1941","1"
"19","5","1928","13"
"21","7","1988","161"
"17","0","1954","9"
"27","4","1978","39"
"30","4","1943","9"
"22","1","1953","2"
"13","7","2000","26"
"20","3","1955","2"
"31","4","1919","4"
"22","0","1981","102"
"17","10","1982","96"
"15","0","1936","16"
"4","6","1918","9"
"10","0","1972","19"
"14","3","1958","4"
"20","1","1925","16"
"4","2","1977","26"
"14","7","1923","20"
"8","8","1937","1"
"19","4","1995","84"
"4","2","1986","88"
"2","7","1992","121"
"24","10","2012","24"
"1","6","1988","291"
"16","11","1905","1"
"17","6","2002","39"
"13","0","1961","7"
"5","5","1915","4"
"26","0","1995","111"
"21","1","1981","60"
"10","11","1995","127"
"14","2","1954","1"
"11","4","1985","123"
"13","1","1991","113"
"16","8","1996","57"
"5","1","1905","1"
"18","1","1914","5"
"21","4","1991","164"
"30","11","1960","8"
"15","0","2009","51"
"24","1","1976","24"
"30","9","1990","125"
"22","2","1920","51"
"3","0","1918","6"
"9","4","2002","20"
"18","9","1969","9"
"16","5","1961","5"
"29","11","2004","63"
"20","1","1919","13"
"15","2","1999","21"
"11","10","1957","6"
"29","4","1932","8"
"25","6","1928","18"
"25","4","1936","13"
"6","5","1920","9"
"9","3","1916","1"
"12","8","2012","16"
"26","5","1918","9"
"23","6","1958","4"
"21","3","1975","34"
"15","0","1992","156"
"29","8","1933","7"
"22","11","1914","10"
"11","3","1923","6"
"26","3","1928","21"
"21","8","1917","10"
"29","0","1931","30"
"30","11","1981","82"
"4","6","1935","4"
"11","11","1963","14"
"1","10","1973","17"
"6","2","1946","1"
"24","9","1984","91"
"6","7","1932","9"
"16","7","1983","79"
"30","7","1971","6"
"3","7","1988","117"
"13","8","1969","19"
"28","8","1920","10"
"6","6","1923","9"
"28","5","1951","3"
"19","7","1965","6"
"8","2","1943","1"
"20","8","1965","2"
"20","11","2009","24"
"29","3","1917","4"
"14","11","1922","21"
"20","1","1978","29"
"26","4","2007","68"
"23","5","1943","3"
"26","3","1949","2"
"18","3","1909","2"
"19","1","1998","19"
"3","5","1994","74"
"22","4","2010","6"
"10","8","1975","29"
"8","3","1971","7"
"16","10","1984","123"
"2","9","1916","4"
"9","11","1958","2"
"11","8","1956","6"
"1","8","1915","3"
"25","2","1951","7"
"13","8","1943","2"
"10","4","1970","9"
"16","10","1949","7"
"14","10","1966","13"
"26","3","1927","5"
"17","6","1919","11"
"30","7","1943","2"
"30","2","1983","2"
"5","4","1925","5"
"23","10","1975","42"
"2","8","2000","19"
"15","6","1919","9"
"15","10","1964","11"
"13","6","1960","6"
"25","2","1975","27"
"24","8","1934","6"
"29","11","1974","34"
"22","1","1976","40"
"21","6","1956","3"
"7","4","1935","3"
"14","7","2009","17"
"20","4","1930","13"
"6","2","1975","18"
"7","1","1932","8"
"31","6","1976","1"
"7","0","1926","14"
"23","4","1982","75"
"12","7","1978","49"
"12","6","1983","77"
"13","1","1969","16"
"24","0","1958","5"
"24","11","2008","59"
"6","9","1997","25"
"28","7","1983","58"
"27","11","1941","3"
"18","11","1982","96"
"24","2","1953","2"
"1","7","2000","28"
"14","11","1925","21"
"7","3","1989","123"
"14","10","1988","249"
"27","2","1987","138"
"5","9","1961","2"
"6","4","1981","53"
"6","4","1922","5"
"30","9","1977","37"
"5","11","1969","8"
"1","7","1936","1"
"22","5","1995","68"
"30","9","1927","15"
"24","3","1963","6"
"16","11","1961","21"
"6","3","1995","67"
"2","8","1970","15"
"23","7","1955","3"
"10","7","1945","1"
"10","0","1997","87"
"19","10","1968","23"
"7","9","1918","4"
"19","9","1981","85"
"7","5","2003","55"
"18","2","1938","6"
"21","2","1990","157"
"19","3","1938","5"
"8","0","2009","33"
"21","1","1920","9"
"1","8","1970","12"
"1","0","1969","11"
"6","4","1947","1"
"18","8","1969","11"
"12","1","1956","5"
"18","11","1931","15"
"1","8","2005","108"
"26","9","2006","64"
"13","2","1996","70"
"18","11","1960","7"
"6","6","1987","124"
"8","2","1921","5"
"25","2","1942","3"
"16","6","1947","6"
"5","6","1969","6"
"2","7","1989","156"
"30","7","1915","6"
"4","1","2000","20"
"21","7","1974","17"
"9","5","1932","13"
"23","8","1940","2"
"14","5","2011","5"
"6","11","1946","3"
"15","2","2007","107"
"22","1","1923","16"
"15","7","1972","14"
"30","8","1996","40"
"9","10","2003","40"
"26","1","2008","88"
"18","9","1954","5"
"15","3","1976","27"
"18","8","2009","19"
"21","11","1988","226"
"3","3","1961","5"
"11","9","1917","6"
"24","9","1940","2"
"11","5","1943","2"
"10","0","1938","13"
"10","8","1915","4"
"21","7","1969","20"
"2","1","1932","8"
"14","8","1953","5"
"8","8","1955","8"
"6","0","1930","10"
"10","2","2002","48"
"15","6","1917","5"
"22","8","1963","11"
"29","8","2005","63"
"22","7","1941","1"
"24","11","1947","2"
"17","8","1953","3"
"5","11","1959","7"
"18","7","1967","5"
"9","5","2000","17"
"2","0","1988","136"
"27","8","1965","4"
"19","5","1960","7"
"21","4","1918","8"
"7","10","2009","13"
"18","1","1932","12"
"16","4","1924","9"
"14","8","1930","21"
"15","0","1949","5"
"25","4","1923","22"
"28","4","1951","2"
"28","3","1991","142"
"5","7","1964","3"
"1","1","2006","235"
"10","10","1967","21"
"7","7","1914","12"
"26","7","1969","17"
"26","9","1994","86"
"23","3","1964","7"
"22","3","1986","126"
"17","5","1920","5"
"2","0","1997","45"
"20","0","1981","97"
"30","11","1998","29"
"29","5","1914","6"
"4","8","1972","9"
"20","8","1973","18"
"9","10","2001","20"
"13","5","1987","159"
"19","7","1953","5"
"29","5","1915","8"
"15","8","1966","7"
"12","8","1962","10"
"25","8","1994","87"
"11","4","1991","155"
"15","10","1941","12"
"18","3","2011","9"
"8","1","1937","3"
"13","7","1957","3"
"23","10","1980","113"
"24","3","1970","7"
"24","7","2012","6"
"20","0","1933","24"
"9","6","1998","12"
"11","9","1965","9"
"7","0","1949","2"
"11","8","1950","2"
"27","1","1945","8"
"23","1","1959","14"
"16","9","1995","51"
"13","0","1991","241"
"11","4","2010","7"
"28","5","2011","13"
"19","0","1942","5"
"15","8","1980","74"
"15","9","1995","79"
"20","7","1997","28"
"11","0","1933","29"
"19","2","1927","14"
"3","3","1925","8"
"28","7","1942","1"
"28","1","1993","135"
"25","0","1986","164"
"9","11","1962","8"
"29","5","1919","4"
"27","9","1984","113"
"12","11","1944","8"
"31","11","1921","8"
"24","8","1939","5"
"11","11","1999","47"
"5","2","1916","9"
"6","3","1984","60"
"18","8","1973","13"
"12","7","1961","4"
"16","5","1975","28"
"30","9","1953","2"
"19","0","1920","23"
"24","0","2009","47"
"11","2","2001","23"
"5","7","1966","3"
"25","9","1929","26"
"31","6","1927","6"
"29","7","1985","101"
"21","8","2010","6"
"1","4","1948","3"
"6","2","1913","1"
"9","11","1961","3"
"30","4","1979","40"
"28","11","1995","108"
"16","3","1951","3"
"25","5","1931","15"
"16","7","1949","1"
"9","1","2005","64"
"11","1","1975","22"
"29","0","1972","18"
"15","3","1923","14"
"20","10","1971","15"
"17","0","1997","59"
"21","6","2010","4"
"15","3","1971","21"
"13","6","1977","32"
"8","9","1934","7"
"18","11","1947","5"
"17","0","1983","82"
"25","1","2003","49"
"19","2","2000","50"
"4","7","2010","15"
"19","9","1940","10"
"28","11","1959","7"
"21","11","1986","187"
"8","2","1927","2"
"3","3","1939","3"
"4","5","1972","18"
"11","11","1975","38"
"2","3","1954","5"
"23","4","1933","11"
"28","10","1988","213"
"24","7","1933","18"
"18","4","1934","5"
"14","7","2006","87"
"15","11","1916","21"
"27","4","1993","112"
"12","4","1951","2"
"16","8","1969","10"
"13","5","1937","3"
"12","0","1968","27"
"27","5","1945","4"
"7","3","2005","55"
"11","6","2003","61"
"20","5","1969","14"
"3","2","2012","5"
"15","1","1955","3"
"17","2","1990","159"
"10","10","1980","146"
"6","1","1907","1"
"3","11","1989","172"
"13","6","1933","18"
"17","3","1995","85"
"18","6","1936","12"
"25","6","2000","26"
"12","8","2006","147"
"20","11","2008","60"
"22","5","1953","2"
"14","3","1962","2"
"26","10","1919","10"
"6","3","1999","13"
"18","3","1923","14"
"2","7","1958","5"
"5","8","1978","40"
"13","9","1986","145"
"13","1","2001","42"
"15","4","1926","14"
"13","4","2002","40"
"28","1","1974","28"
"20","8","1954","6"
"31","4","2005","3"
"1","9","1968","25"
"12","3","1927","13"
"19","10","1998","46"
"19","10","1936","4"
"19","4","1974","33"
"20","11","2005","111"
"15","3","1969","14"
"2","10","1981","70"
"24","8","2007","82"
"14","3","2008","69"
"10","2","1956","9"
"1","5","1934","6"
"3","3","1991","121"
"17","7","1925","12"
"18","9","1925","15"
"20","9","1985","117"
"27","1","1963","6"
"2","9","2006","92"
"28","5","2012","11"
"21","5","1987","196"
"23","7","1938","2"
"23","5","1947","1"
"8","1","1969","11"
"21","0","1919","31"
"8","8","1969","18"
"21","10","1934","10"
"4","11","1945","1"
"27","3","1964","6"
"22","2","1917","10"
"30","6","1927","4"
"2","4","1938","3"
"14","1","1922","7"
"29","6","1966","5"
"5","4","1963","3"
"12","10","1940","1"
"2","7","2003","50"
"19","11","1993","194"
"4","3","1916","5"
