"Word","G2","G2 Ranking","Relative Frequency Difference Ranking","Relative Frequency Difference","Relative frequency - BNC","Relative frequency - Passwords","Absolute frequency - BNC","Absolute frequency - Passwords"
"about","-127747.0681011821","55","55","-0.0019561662","0.0019691072","1.2940854E-5","197116","523"
"hi","127334.596242186","56","80","0.0013487283","1.0259304E-5","0.0013589876","1027","54923"
"sha","126416.10340387136","57","85","0.001307776","5.634126E-6","0.0013134101","564","53081"
"what","-124928.38893113598","58","44","-0.0023318985","0.0024922118","1.6031318E-4","249481","6479"
"will","-117206.17607435561","59","45","-0.0023237318","0.0025430087","2.1927695E-4","254566","8862"
"at","-117067.71293642664","60","30","-0.0035281684","0.0047768","0.0012486315","478178","50463"
"we","-116181.02524954425","61","35","-0.0029266493","0.0035841833","6.5753394E-4","358792","26574"
"pink","112916.36127940206","62","82","0.0013196031","3.3545028E-5","0.0013531481","3358","54687"
"could","-112838.97186738157","63","67","-0.0016798156","0.0016821662","2.3506332E-6","168392","95"
"abc","111943.01518023912","64","96","0.0011467893","3.5363132E-6","0.0011503256","354","46490"
"ana","107769.51320667197","65","102","0.0011104299","4.215605E-6","0.0011146455","422","45048"
"jay","107391.76330789052","66","97","0.0011421478","9.39021E-6","0.001151538","940","46539"
"cute","106909.1781757995","67","106","0.0010924324","3.036834E-6","0.0010954692","304","44273"
"who","-106275.98038781666","68","57","-0.0019453244","0.002064118","1.1879357E-4","206627","4801"
"com","103068.24646987313","69","114","0.0010412862","1.5783545E-6","0.0010428645","158","42147"
"monkey","101542.04483614337","70","113","0.0010596762","5.803949E-6","0.0010654802","581","43061"
"into","-99655.37901889086","71","70","-0.0016032805","0.0016329975","2.9716952E-5","163470","1201"
"gurl","99260.74013042513","72","125","9.856723E-4","9.989585E-9","9.856824E-4","1","39836"
"boo","97564.68986496516","73","122","9.937118E-4","2.387511E-6","9.960993E-4","239","40257"
"can","-97341.34498761751","74","51","-0.002086071","0.0023607488","2.7467767E-4","236321","11101"
"then","-97155.96770086985","75","72","-0.0015743194","0.001606585","3.2265532E-5","160826","1304"
"ok","96953.33224325841","76","99","0.0011325722","2.8690089E-5","0.0011612623","2872","46932"
"ms","95571.41793650715","77","112","0.001063746","1.6852431E-5","0.0010805984","1687","43672"
"team","95557.154888419","78","73","0.0015469567","1.8902293E-4","0.0017359797","18922","70159"
"mar","95360.86024315284","79","126","9.856541E-4","4.1356884E-6","9.897897E-4","414","40002"
"lover","95233.47824857853","80","111","0.0010641397","1.7621629E-5","0.0010817613","1764","43719"
"some","-94089.0463731159","81","68","-0.0016407329","0.0017118952","7.116232E-5","171368","2876"
"mom","94034.82412266968","82","128","9.605137E-4","2.627261E-6","9.63141E-4","263","38925"
"other","-92072.62326406596","83","76","-0.0014104677","0.0014199197","9.452019E-6","142140","382"
"them","-89964.53839394612","84","69","-0.0016363938","0.0017323738","9.598006E-5","173418","3879"
"cat","89238.54001753061","85","105","0.0010938974","3.947884E-5","0.0011333763","3952","45805"
"lyn","88219.4459842505","86","135","9.0105174E-4","2.457438E-6","9.0350915E-4","246","36515"
"nicole","87362.94159257409","87","138","8.849467E-4","1.588344E-6","8.865351E-4","159","35829"
"bitch","86543.86975553492","88","133","9.3126413E-4","9.360241E-6","9.406244E-4","937","38015"
"more","-85374.31221084132","89","63","-0.0017964935","0.0020165376","2.20044E-4","201864","8893"
"bi","85277.74032068119","90","147","8.61102E-4","1.2586877E-6","8.623607E-4","126","34852"
"lee","84997.11861563446","91","115","0.0010397666","3.7021404E-5","0.001076788","3706","43518"
"dog","83801.42134862047","92","94","0.0011627544","8.070586E-5","0.0012434602","8079","50254"
"ed","83442.04732408846","93","132","9.377106E-4","1.6522774E-5","9.5423334E-4","1654","38565"
"wert","82396.12606902042","94","157","8.202311E-4","1.398542E-7","8.20371E-4","14","33155"
"these","-81948.75771769446","95","88","-0.0012465765","0.0012531335","6.5570293E-6","125444","265"
"all","-80457.28632176771","96","49","-0.00210049","0.0026217366","5.212467E-4","262447","21066"
"also","-80108.29474653282","97","89","-0.0012371076","0.0012475493","1.04417595E-5","124885","422"
"chris","79785.27035005034","98","119","0.0010113239","4.480329E-5","0.0010561271","4485","42683"
"tar","79416.19637754631","99","158","8.1307377E-4","2.4474484E-6","8.155212E-4","245","32959"
"sam","79331.7533192307","100","129","9.581807E-4","3.128738E-5","9.894681E-4","3132","39989"
"soccer","77896.3619767996","101","146","8.644259E-4","1.3226211E-5","8.7765214E-4","1324","35470"
"jesus","76796.44285419383","102","118","0.0010122167","5.5292356E-5","0.0010675091","5535","43143"
"did","-76552.55326421055","103","78","-0.001363465","0.0014327962","6.9331305E-5","143429","2802"
"blue","75891.95706063932","104","100","0.0011316584","1.046509E-4","0.0012363093","10476","49965"
"mama","75011.26403575283","105","162","7.9135987E-4","5.5542096E-6","7.969141E-4","556","32207"
"ste","74739.52263519923","106","168","7.471712E-4","3.7960424E-7","7.475508E-4","38","30212"
"bear","74499.95691042017","107","121","9.947828E-4","5.7929607E-5","0.0010527124","5799","42545"
"pi","74222.79224611651","108","164","7.8720745E-4","6.143595E-6","7.9335104E-4","615","32063"
"eva","74051.67116780928","109","160","8.0464163E-4","9.370231E-6","8.1401184E-4","938","32898"
"should","-73855.68141223262","110","103","-0.0011082175","0.0011112115","2.9939642E-6","111237","121"
"if","-73697.21440359871","111","60","-0.0019068372","0.0023686006","4.6176332E-4","237107","18662"
"mon","73672.93401236719","112","166","7.770395E-4","5.4243446E-6","7.824639E-4","543","31623"
"daniel","73380.04343098211","113","156","8.278418E-4","1.51941595E-5","8.43036E-4","1521","34071"
"after","-73220.62216107192","114","95","-0.0011547201","0.00117016","1.5439948E-5","117138","624"
"ina","72414.62885454833","115","172","7.2628586E-4","5.7939593E-7","7.2686526E-4","58","29376"
"kitty","70356.08954559143","116","170","7.3355425E-4","3.925907E-6","7.374802E-4","393","29805"
"ass","69830.57490529255","117","175","7.2302524E-4","3.1966672E-6","7.262219E-4","320","29350"
"two","-69785.58789703982","118","75","-0.0014127356","0.0015595141","1.4677848E-4","156114","5932"
"chi","69644.637302644","119","179","7.169286E-4","2.6372504E-6","7.195659E-4","264","29081"
"cool","68693.99058519583","120","143","8.743812E-4","3.9668645E-5","9.1404986E-4","3971","36941"
"where","-68677.39883705594","121","110","-0.0010731276","0.0010850787","1.1951113E-5","108621","483"
"very","-68382.7913023761","122","93","-0.0011819074","0.0012295881","4.7680736E-5","123087","1927"
"sweet","67017.25792912823","123","152","8.4559934E-4","3.6481964E-5","8.820813E-4","3652","35649"
"cutie","66422.18601131819","124","195","6.606064E-4","6.99271E-8","6.6067633E-4","7","26701"
"ea","64655.22873287008","125","194","6.624785E-4","2.0578545E-6","6.645364E-4","206","26857"
"pooh","64537.1646216215","126","197","6.5722753E-4","1.5683648E-6","6.587959E-4","157","26625"
"ako","63905.21998710288","127","204","6.353138E-4","4.9947925E-8","6.3536374E-4","5","25678"
"dr","63834.578038598534","128","120","0.0010044043","1.1197326E-4","0.0011163775","11209","45118"
"tigger","63663.19877737933","129","207","6.340462E-4","1.298646E-7","6.341761E-4","13","25630"
"qui","63329.530027698944","130","201","6.434472E-4","1.3685732E-6","6.448158E-4","137","26060"
"cha","63212.87164863569","131","202","6.434163E-4","1.4984378E-6","6.4491475E-4","150","26064"
"ashley","62355.70453993526","132","184","6.918744E-4","1.0568981E-5","7.024434E-4","1058","28389"
"babe","61968.52725788094","133","205","6.352363E-4","2.0079067E-6","6.3724426E-4","201","25754"
"first","-61842.430329987386","134","101","-0.0011213317","0.0011857637","6.443209E-5","118700","2604"
"ers","61534.93118578833","135","217","6.1454216E-4","2.597292E-7","6.148019E-4","26","24847"
"alex","61484.60049252145","136","176","7.2138547E-4","1.8940254E-5","7.403257E-4","1896","29920"
"jordan","61313.41398519977","137","182","6.9978164E-4","1.4414972E-5","7.141966E-4","1443","28864"
"its","-61144.740355925096","138","77","-0.0013972919","0.0016293613","2.3206935E-4","163106","9379"
"kay","61000.57360506185","139","200","6.437346E-4","4.545261E-6","6.4827985E-4","455","26200"
"between","-60831.11636077195","140","134","-9.045823E-4","9.056958E-4","1.1134578E-6","90664","45"
"id","60304.77502178774","141","206","6.344985E-4","4.2056154E-6","6.387041E-4","421","25813"
"jose","59693.47932271935","142","212","6.2614324E-4","3.875959E-6","6.300192E-4","388","25462"
"those","-59586.093556953725","143","137","-8.8654156E-4","8.877045E-4","1.1629448E-6","88863","47"
"man","59550.544546887555","144","71","0.0015864659","6.2033325E-4","0.002206799","62098","89187"
"time","-59492.41015278396","145","81","-0.0013379009","0.001548196","2.1029507E-4","154981","8499"
"den","59359.55991769273","146","210","6.291974E-4","4.8549387E-6","6.340523E-4","486","25625"
"over","-59217.11629694882","147","92","-0.0011975411","0.0013213824","1.2384125E-4","132276","5005"
"fu","58520.3593559764","148","228","5.926468E-4","1.0489065E-6","5.936957E-4","105","23994"
"hello","58402.68569255096","149","167","7.5858313E-4","3.8429935E-5","7.9701305E-4","3847","32211"
"maria","58195.7487534859","150","183","6.981602E-4","2.1727348E-5","7.1988755E-4","2175","29094"
"being","-57754.43199630643","151","139","-8.839871E-4","8.8975235E-4","5.765237E-6","89068","233"
"before","-57652.45242670617","152","142","-8.7717886E-4","8.8183064E-4","4.6517794E-6","88275","188"
"than","-57554.09103780032","153","117","-0.0010322226","0.0010873264","5.510379E-5","108846","2227"
"kat","57466.672250903","154","236","5.795155E-4","7.6919804E-7","5.802847E-4","77","23452"
"justin","57270.21797475121","155","227","5.944812E-4","2.8270526E-6","5.973082E-4","283","24140"
"well","-57030.970783111625","156","107","-0.0010885707","0.0011733667","8.4796E-5","117459","3427"
"mys","56819.18265861648","157","244","5.646416E-4","2.9968756E-8","5.646716E-4","3","22821"
"jessica","56751.6431389689","158","216","6.1610737E-4","7.082616E-6","6.2318996E-4","709","25186"
"like","-56564.96401011646","159","83","-0.001309648","0.0015368677","2.2721961E-4","153847","9183"
"through","-55974.36905895762","160","153","-8.379544E-4","8.398844E-4","1.9299935E-6","84076","78"
"amor","55570.182403867744","161","253","5.561913E-4","3.396459E-7","5.5653095E-4","34","22492"
"luis","55563.61873721253","162","238","5.7555473E-4","2.577313E-6","5.7813205E-4","258","23365"
"out","-55316.65214752039","163","84","-0.0013085497","0.001551902","2.4335239E-4","155352","9835"
"cho","55207.02654479519","164","251","5.5825466E-4","8.990627E-7","5.5915373E-4","90","22598"
"juan","54804.85673385614","165","233","5.818849E-4","4.6351674E-6","5.8652007E-4","464","23704"
"star","54764.38932266606","166","161","7.946742E-4","6.6300876E-5","8.6097507E-4","6637","34796"
"elle","54629.262897196975","167","256","5.480398E-4","4.4953134E-7","5.4848933E-4","45","22167"
"que","54560.485625890164","168","254","5.549606E-4","1.2486981E-6","5.562093E-4","125","22479"
"hottie","54429.36798836984","169","260","5.4074934E-4","1.997917E-8","5.407693E-4","2","21855"
"now","-54314.65060821811","170","91","-0.0011997639","0.0013767047","1.7694081E-4","137814","7151"
"ann","54097.34224737355","171","199","6.462491E-4","1.949967E-5","6.657488E-4","1952","26906"
"only","-54091.45352788782","172","87","-0.0012851544","0.0015274675","2.4231315E-4","152906","9793"
"carlos","53893.705220797114","173","232","5.8239454E-4","6.2534805E-6","5.88648E-4","626","23790"
"ara","53417.18381853689","174","262","5.37028E-4","5.4942717E-7","5.3757743E-4","55","21726"
"ash","53371.842230819144","175","222","6.0945965E-4","1.2616846E-5","6.220765E-4","1263","25141"
"purple","53273.17148041353","176","220","6.105342E-4","1.3076367E-5","6.2361057E-4","1309","25203"
"marie","53174.98746857115","177","209","6.3112855E-4","1.8141087E-5","6.492696E-4","1816","26240"
"see","-53023.40318747884","178","109","-0.001074395","0.0011864831","1.12088084E-4","118772","4530"
"people","-53010.98970427951","179","104","-0.0011081566","0.001240287","1.3213033E-4","124158","5340"
"years","-52888.681981261616","180","141","-8.773734E-4","9.0130034E-4","2.392697E-5","90224","967"
"most","-52821.152873428146","181","131","-9.3932607E-4","9.865614E-4","4.7235353E-5","98759","1909"
"pie","52614.175816341965","182","226","5.9681543E-4","1.1577929E-5","6.0839334E-4","1159","24588"
"pimp","52494.32348236149","183","265","5.3067616E-4","8.3912516E-7","5.315153E-4","84","21481"
"one","-51490.15826175624","184","61","-0.0018963282","0.0029109851","0.001014657","291402","41007"
"know","-50616.94834796619","185","108","-0.0010871125","0.0012314661","1.4435362E-4","123275","5834"
"aru","50587.895341177034","186","284","5.0529005E-4","2.1977088E-7","5.0550984E-4","22","20430"
"mel","50440.0837701852","187","266","5.306317E-4","3.5063445E-6","5.3413806E-4","351","21587"
"fer","50410.79370454227","188","268","5.234158E-4","2.507386E-6","5.259232E-4","251","21255"
"because","-50361.80297718845","189","154","-8.2995556E-4","8.509628E-4","2.1007238E-5","85185","849"
"jan","50358.74376281441","190","231","5.852015E-4","1.41852115E-5","5.993867E-4","1420","24224"
"dan","50305.33916945181","191","243","5.649762E-4","9.889689E-6","5.748659E-4","990","23233"
"honey","50232.89054422049","192","229","5.864184E-4","1.4774597E-5","6.01193E-4","1479","24297"
"bob","50227.96512660379","193","188","6.880814E-4","4.5142937E-5","7.332243E-4","4519","29633"
"ing","50152.40642910776","194","278","5.132455E-4","1.518417E-6","5.1476393E-4","152","20804"
"tweet","50064.9667954623","195","288","5.000939E-4","2.1977088E-7","5.003137E-4","22","20220"
"loves","50033.69022007209","196","235","5.803055E-4","1.3835575E-5","5.941411E-4","1385","24012"
"jon","49846.57472165623","197","263","5.369824E-4","5.494272E-6","5.4247666E-4","550","21924"
"red","49569.91605215742","198","136","8.971305E-4","1.5120236E-4","0.0010483329","15136","42368"
"nie","49534.96585612515","199","291","4.979979E-4","5.0946886E-7","4.985074E-4","51","20147"
"many","-49455.649598563614","200","148","-8.5941696E-4","8.956662E-4","3.6249236E-5","89660","1465"
"michelle","49263.08552380657","201","264","5.343345E-4","6.063678E-6","5.403982E-4","607","21840"
"yan","49162.14450802095","202","294","4.9281796E-4","3.6961467E-7","4.931876E-4","37","19932"
"ox","49117.2421275876","203","282","5.060662E-4","1.9180004E-6","5.079842E-4","192","20530"
"big","49095.937671863496","204","116","0.0010386803","2.5555358E-4","0.0012942338","25582","52306"
"mari","48966.05423211473","205","298","4.894095E-4","2.3975005E-7","4.8964925E-4","24","19789"
"think","-48914.85296156849","206","144","-8.726839E-4","9.1759337E-4","4.4909462E-5","91855","1815"
"mia","48815.28241640396","207","286","5.048614E-4","2.1577505E-6","5.0701917E-4","216","20491"
"mac","48629.24939215747","208","257","5.4736447E-4","9.809773E-6","5.5717427E-4","982","22518"
"daddy","48554.25127292544","209","225","5.969275E-4","2.1957108E-5","6.188846E-4","2198","25012"
"work","-48551.66354394782","210","145","-8.6748117E-4","9.1258856E-4","4.5107412E-5","91354","1823"
"lin","48434.62160243536","211","290","4.989305E-4","1.878042E-6","5.008086E-4","188","20240"
"mah","48365.16065344647","212","303","4.8553292E-4","4.2955216E-7","4.8596246E-4","43","19640"
"cs","48335.90115878497","213","269","5.233954E-4","5.7939596E-6","5.2918936E-4","580","21387"
"ura","48038.04187241432","214","309","4.7995272E-4","2.1977088E-7","4.801725E-4","22","19406"
"che","48003.9471237365","215","300","4.8801125E-4","1.0688856E-6","4.8908015E-4","107","19766"
"kim","47425.37789204038","216","255","5.507126E-4","1.3266169E-5","5.6397874E-4","1328","22793"
"ell","47348.52180711092","217","308","4.8130102E-4","1.0489065E-6","4.8234992E-4","105","19494"
"made","-46869.098873535826","218","140","-8.802017E-4","9.4287697E-4","6.26753E-5","94386","2533"
"ama","46374.417580554866","219","323","4.649915E-4","3.5962506E-7","4.6535113E-4","36","18807"
"mae","46270.63038698027","220","319","4.695835E-4","9.39021E-7","4.7052253E-4","94","19016"
"forever","46199.83170341353","221","249","5.5885E-4","1.8440775E-5","5.772908E-4","1846","23331"
"crazy","46162.98512639826","222","252","5.5627694E-4","1.7871367E-5","5.741483E-4","1789","23204"
"hon","46004.31824861715","223","306","4.8315784E-4","3.0767922E-6","4.8623464E-4","308","19651"
"nha","46001.375945938635","224","331","4.5723002E-4","2.9968756E-8","4.5726E-4","3","18480"
"ale","45991.89651251456","225","287","5.041571E-4","6.623095E-6","5.107802E-4","663","20643"
"right","-45988.05203153784","226","155","-8.294191E-4","8.754173E-4","4.599818E-5","87633","1859"
"jen","45905.945429401574","227","314","4.768899E-4","2.3175837E-6","4.792075E-4","232","19367"
"ip","45901.69094370463","228","317","4.7078566E-4","1.518417E-6","4.7230406E-4","152","19088"
"hannah","45602.16638426481","229","283","5.053308E-4","7.602074E-6","5.129329E-4","761","20730"
"such","-45562.81714293886","230","169","-7.390877E-4","7.544534E-4","1.5365717E-5","75524","621"
"your","-45514.790591390076","231","98","-0.0011345932","0.0013819293","2.4733608E-4","138337","9996"
"anthony","45228.23257197392","232","241","5.674076E-4","2.3665327E-5","5.910729E-4","2369","23888"
"sex","44278.35118705481","233","181","7.0829585E-4","8.332313E-5","7.91619E-4","8341","31993"
"joshua","44242.17528890503","234","316","4.7273023E-4","4.2255947E-6","4.769558E-4","423","19276"
"gat","44224.40271980894","235","344","4.4133855E-4","1.5983336E-7","4.4149839E-4","16","17843"
"ball","43715.1600877781","236","189","6.856818E-4","7.565113E-5","7.613329E-4","7573","30769"
"dragon","43616.51028625587","237","295","4.918674E-4","8.990627E-6","5.0085806E-4","900","20242"
"ong","43593.91606500365","238","354","4.3457403E-4","1.1987503E-7","4.346939E-4","12","17568"
"does","-43568.8934586197","239","191","-6.7944423E-4","6.8669405E-4","7.2498474E-6","68741","293"
"both","-43545.17163424561","240","190","-6.7989563E-4","6.873434E-4","7.4477953E-6","68806","301"
"brandon","43365.99814742149","241","335","4.4888348E-4","1.9679483E-6","4.5085142E-4","197","18221"
"moo","43127.11513000809","242","355","4.3301767E-4","3.8959382E-7","4.3340726E-4","39","17516"
"eli","42969.70686065397","243","353","4.3469225E-4","7.192501E-7","4.354115E-4","72","17597"
"ryan","42920.87987502528","244","301","4.862279E-4","9.3102935E-6","4.955382E-4","932","20027"
"bebe","42915.31846275272","245","361","4.2820972E-4","1.4984379E-7","4.2835958E-4","15","17312"
"mail","42712.97604903631","246","239","5.728047E-4","3.4054498E-5","6.068592E-4","3409","24526"
"james","42627.166251324394","247","174","7.232579E-4","1.018638E-4","8.251217E-4","10197","33347"
"aw","42519.5288847378","248","348","4.378411E-4","1.6283024E-6","4.394694E-4","163","17761"
"bug","42184.06613608689","249","337","4.4868936E-4","3.6961465E-6","4.5238552E-4","370","18283"
"sunshine","41728.688978712016","250","297","4.906862E-4","1.3116325E-5","5.0380256E-4","1313","20361"
"ray","41681.09998907986","251","274","5.206506E-4","2.115794E-5","5.4180855E-4","2118","21897"
"government","-41641.18797400567","252","214","-6.209923E-4","6.220315E-4","1.0392273E-6","62268","42"
"joe","41558.09208194012","253","230","5.853829E-4","4.332483E-5","6.2870776E-4","4337","25409"
"still","-41509.75064347865","254","178","-7.178529E-4","7.4695126E-4","2.9098363E-5","74773","1176"
"ax","41376.00160204963","255","372","4.2061132E-4","9.1904184E-7","4.2153036E-4","92","17036"
"down","-41260.55814388125","256","149","-8.58717E-4","9.592499E-4","1.0053287E-4","96025","4063"
"tay","41067.83802684741","257","369","4.2160644E-4","1.4085315E-6","4.2301498E-4","141","17096"
"kiss","41007.31553713787","258","267","5.3060905E-4","2.6342535E-5","5.5695156E-4","2637","22509"
"mer","40973.35132037425","259","378","4.1210893E-4","4.3954176E-7","4.1254848E-4","44","16673"
"playboy","40917.6113906024","260","371","4.2073472E-4","1.4884482E-6","4.2222318E-4","149","17064"
"ros","40779.208563276596","261","327","4.5927192E-4","8.281366E-6","4.675533E-4","829","18896"
"however","-40630.04451725024","262","224","-6.036819E-4","6.0434995E-4","6.680747E-7","60498","27"
"yahoo","40487.06459838919","263","391","4.040848E-4","1.4984379E-7","4.0423466E-4","15","16337"
"candy","40420.96234897862","264","358","4.3077033E-4","3.6761674E-6","4.344465E-4","368","17558"
"him","-40411.28026906076","265","90","-0.0012176817","0.0016484414","4.307597E-4","165016","17409"
"ken","40190.99178243184","266","261","5.385253E-4","3.1886757E-5","5.70412E-4","3192","23053"
"josh","40173.43524311006","267","362","4.2765355E-4","3.5762714E-6","4.3122983E-4","358","17428"
"might","-40039.79038574166","268","219","-6.133588E-4","6.174662E-4","4.1074222E-6","61811","166"
"rox","40011.233510429876","269","404","3.9804835E-4","4.9947925E-8","3.980983E-4","5","16089"
"lou","39882.41565675281","270","345","4.3989668E-4","6.2534805E-6","4.4615017E-4","626","18031"
"going","-39820.27473462972","271","198","-6.4907235E-4","6.634483E-4","1.4375977E-5","66414","581"
"andrea","39788.07459651409","272","370","4.214414E-4","3.2066569E-6","4.2464805E-4","321","17162"
"ino","39733.53504509287","273","407","3.948369E-4","1.997917E-8","3.9485688E-4","2","15958"
"butterfly","39691.7780315218","274","347","4.3893984E-4","6.4432825E-6","4.453831E-4","645","18000"
"cookie","39325.26792139841","275","399","3.995503E-4","8.4911477E-7","4.003994E-4","85","16182"
"cris","39264.348287102825","276","411","3.9117917E-4","8.9906266E-8","3.9126907E-4","9","15813"
"must","-39142.20847436997","277","185","-6.9172366E-4","7.249542E-4","3.3230528E-5","72571","1343"
"mike","39078.351855753644","278","250","5.583289E-4","4.380433E-5","6.021332E-4","4385","24335"
"shorty","39045.10515209221","279","414","3.8975832E-4","1.4984379E-7","3.8990818E-4","15","15758"
"rocks","38927.02039307946","280","277","5.166717E-4","2.9219536E-5","5.4589123E-4","2925","22062"
"hate","38814.22475759807","281","275","5.2049605E-4","3.0937746E-5","5.5143377E-4","3097","22286"
"gal","38796.21564526848","282","400","3.9913415E-4","1.4385002E-6","4.0057264E-4","144","16189"
"mal","38748.75322538712","283","396","4.0056696E-4","1.6882399E-6","4.022552E-4","169","16257"
"ron","38666.739871616526","284","326","4.593938E-4","1.3306128E-5","4.7269993E-4","1332","19104"
"chick","38505.95241836193","285","385","4.078829E-4","3.106761E-6","4.1098965E-4","311","16610"
"ani","38494.03174379449","286","418","3.8403782E-4","1.298646E-7","3.8416768E-4","13","15526"
"lynn","38484.91450754873","287","367","4.2214684E-4","5.5941678E-6","4.27741E-4","560","17287"
"tyler","38463.1760192056","288","390","4.0445768E-4","2.64724E-6","4.071049E-4","265","16453"
"rey","38269.56738346963","289","416","3.8637954E-4","5.594168E-7","3.8693895E-4","56","15638"
"ren","38233.726792259215","290","422","3.821716E-4","1.8980212E-7","3.823614E-4","19","15453"
"softball","38213.696389039396","291","424","3.8112808E-4","1.1987503E-7","3.8124796E-4","12","15408"
"las","38150.22475997573","292","387","4.0636555E-4","3.4364173E-6","4.0980196E-4","344","16562"
"mommy","38051.968747932886","293","425","3.8036532E-4","1.8980212E-7","3.8055514E-4","19","15380"
